gene	X921.D28A	X921.D28B	X921.D28C	X921.D42A	X921.D42B	X921.D42C
DBT	-0.215513227768686	-0.213193636816271	-0.250430960103787	-0.370438316869733	-0.416989968379182	-0.0268768719686636
DCAF4L2	0.00703085474642588	-0.0539590156306075	-0.181065753791664	0.00421823234594821	0.065144262616035	-0.279854042765792
DCAF8L1	-0.116800171020026	-0.100321293594066	-0.130965749706826	-0.188839687032317	-0.102885197529567	-0.220722722429008
DDI1	-0.171500354485458	-0.231683396814245	-0.0908644104211989	-0.361874430029251	-0.174240886781713	-0.124788937601675
DDI2	-0.0261511600501441	-0.0126285857163508	0.0141021800367643	-0.0842937056225142	0.0491309616880043	-0.128706433101881
DDX17	-0.25078102233747	-0.210006906379828	-0.238031032594972	-0.194575034875318	-0.221945911790165	-0.0739221112598176
DDX39A	-0.0867735907990521	-0.070156642978864	-0.1191892545856	0.118912001158427	-0.185467130322698	-0.223143266643967
DDX39B	-0.233117595018948	-0.242020665994167	-0.331280249114552	0.0907647043664872	-0.267937224832904	-0.686724924078664
DDX5	-0.559091243759328	-0.379184587574955	-0.470319844939487	-0.635011595967067	-0.534319972564941	-0.57408979195351
DEGS1	-0.0816097464158084	-0.233073788175553	-0.174386219954334	0.0360579300068692	-0.299722857847544	-0.153161856506527
DEGS2	-0.276148156235068	-0.254038803564468	-0.287009620729666	-0.150254435947069	-0.30663217192956	-0.363925732700772
DENND5A	-0.272265558717672	-0.208133276487324	-0.23269110733491	-0.37629419902389	-0.332438933032702	-0.366200811318455
DENND5B	0.0965246514461579	-0.0466526139443439	0.0841908894527971	0.18644641786632	-0.109695133452477	0.0492970172772767
DGAT1	-0.472240934638108	-0.457417443392869	-0.450140161622819	-0.649059291477397	-0.567360637683088	-0.574867324535912
DGAT2L6	-0.109543526654624	-0.122029028421139	-0.0196291075097361	-0.109112071659715	-0.243691362674394	-0.192498971852431
DGKI	-0.340430224892415	-0.287629860174372	-0.353196877161259	-0.364020099120694	-0.408400051665402	-0.396804998139115
DGKZ	-0.67555962206518	-0.713456202469292	-0.670618598513512	-0.811817965375792	-1.3122094808899	-0.837100945483014
DHX29	-0.41991237259488	-0.367270744468294	-0.547258693846502	-0.503053668971986	-0.287066906505824	-1.01690258115687
DHX9	-0.562160942363396	-0.593980407938682	-0.701845838918888	-0.940727002938896	-0.855773256970858	-0.93870019149554
DLL1	-0.0708135936813413	-0.115006523918994	-0.104197303768084	-0.199782808288971	0.0777596447329173	-0.282064627066941
DLL4	-0.257717065292112	-0.180240134331213	-0.258047552922693	-0.436362789621631	-0.278761102169268	-0.321500248403427
DMD	-0.219608827688999	-0.333151135118285	-0.194824173040895	-0.216251649765831	-0.348238214536316	-0.110124218408497
DMP1	-0.106435176946467	-0.230291454293314	-0.212726851481462	-0.0399031823368925	-0.421078415357749	-0.315012012761927
DMXL1	-0.374078501756368	-0.368348001907127	-0.24185152437807	-0.0958759832272982	-0.447975573640947	-0.209251949535664
DMXL2	-0.40754993870206	-0.330765465125454	-0.616669122282728	-0.607140868551698	-0.352367077782125	-0.68031917714051
DNAJC15	-0.127676789631251	-0.240752197608697	-0.167722296207855	0.127599636045494	-0.381503168087771	-0.0595372595963649
DNAJC19	-0.0352310876479502	-0.0241277069349577	-0.0601060950769862	-0.275900203120642	-0.230019691781573	-0.161745450889845
DPCR1	-0.210834235610066	-0.234858447002235	-0.183990298047464	-0.192852430130545	-0.250130497997018	-0.0750513698552625
DRD3	-0.116057402642867	0.0417588080984576	-0.342554458952878	-0.176649346015383	0.0862305631778162	-0.382190844633089
DST	-0.360049205621087	-0.356975734708521	-0.340885384939906	-0.501849662721378	-0.404160560199811	-0.360880851963436
DUOX1	-0.209954976200503	-0.260736392922858	-0.262298292179459	-0.128529914767495	-0.0814355734690382	-0.373675853317349
DUOX2	-0.232124523008803	-0.280286972223631	-0.270856817343907	-0.322774965345144	-0.181081684296653	-0.211341349761885
DUSP10	-0.298557980726465	-0.241264511514482	-0.223978387624192	-0.34595555286441	-0.341882392008085	-0.339956300196246
DYNC1LI1	-0.240991864963555	-0.131555397461292	-0.0546959223074808	-0.293484778037374	-0.0649977024453652	-0.0795930470628974
DYNC1LI2	-0.132336155609521	-0.277542216196183	-0.314212183946161	-0.343043513304425	-0.308106228074407	-0.352226965928767
DYNLRB1	-0.609338108459302	-0.588022778049334	-1.00330495007592	-1.22451683641717	-0.751446159711722	-1.27910303906202
DYNLRB2	0.0126502201276145	-0.11054096977926	0.0361486800330327	0.0253249626148505	-0.127740224250226	0.0127095906755142
DYNLT1	0.0490192197697646	-0.135194606257396	-0.124447630459594	0.0523741989087823	0.0330590587342603	-0.0967386048316952
DYNLT3	-0.200615640236209	-0.200467467158426	-0.223017525613618	-0.259871713679955	-0.0710376820863976	-0.172932017579975
DZIP1L	-0.0841485010520997	-0.035068400214213	-0.0447656969318997	-0.0846340310292412	-0.0369421842906116	0.0293863486524345
DZIP3	-0.00164917453320179	-0.137033915274103	-0.196718393949981	-0.0410629416855512	-0.181972726090116	-0.333819728683494
E2F3	-1.17735365519804	-1.2222206121288	-1.48792410679407	-1.28852712358889	-1.5953564225181	-2.08810058221506
E2F4	-0.381277714250221	-0.397777607963992	-0.439583869590962	-0.512239764781365	-0.440042800844296	-0.543145216458267
EAF1	-0.532271342312318	-0.431074719537825	-0.434012465216153	-1.0085898219504	-0.925301569518447	-0.655688590866521
EAF2	-0.104155432376266	-0.117191064314564	-0.0659617939221597	-0.088217186022801	-0.203414931433882	-0.0671311313017179
EEFSEC	-0.187717508152705	-0.236631712915352	-0.161547475026638	-0.173046861332763	-0.266102233839919	-0.260972955639312
EFNB1	-0.105978326276724	-0.220941296041154	-0.271056980444502	-0.166428408349862	-0.419803428249974	-0.101828202688521
EFR3A	-0.338809099199198	-0.36477488000183	-0.217563009448101	-0.556567254226625	-0.689833352575237	-0.297975599764615
EFR3B	-0.276870321698348	-0.365351258889933	-0.312867267061562	-0.433743699465172	-0.504750381106123	-0.411304821587548
EGFR	-0.0984940083417243	-0.267191696823672	-0.16687338447867	-0.122454887164312	-0.271589046804861	-0.184271502277953
EIF3B	-0.650473235426665	-0.543122422596026	-0.517482008077112	-0.902533517451009	-0.8933593622757	-0.674273513219613
EIF3J	-0.607603706260632	-0.619086077172921	-0.770874743887046	-0.827113402180281	-0.713537290117881	-1.09558148174435
EIF3L	-0.54939560009734	-0.465525519836611	-0.529281512498594	-0.470231682909245	-0.590095535861157	-0.522102036525299
