gene	MP38.D28A	MP38.D28B	MP38.D28C	MP38.D65A	MP38.D65B	MP38.D65C
ATP5F1D	-0.393660693563489	-0.414244220737657	-0.394507890291344	-1.65282093057344	-1.01460241764407	-0.941309268399547
ATP5PB	-0.200505550234435	-0.188418025777231	-0.199641099280895	-0.645539302400653	-0.427833611690647	-0.425600527906483
ATP6V1B1	-0.0918436524031831	-0.140501524818984	-0.129129171632983	-0.161873594198676	-0.280395080786548	-0.23356885203687
ATP6V1B2	-1.25375714588122	-1.40769068573187	-1.26518968130955	-2.40656848924743	-2.35215953762638	-2.20508047797398
ATP6V1C1	-0.452480739806466	-0.674218306541528	-0.533458082581485	-0.503391527570431	-0.999829795908594	-0.591806153749542
ATP6V1C2	-0.0813746687418122	-0.114442799398755	-0.180763761276498	-0.0988600938110436	-0.211874030954139	-0.310909978386707
ATP6V1D	-0.529112558396434	-0.452658760881283	-0.484501358894544	-0.806915241790985	-1.13850248277033	-0.646058113233646
ATP6V1E1	-0.17051711042907	-0.162319243045264	-0.234099150090848	-0.312685486370426	-0.217081238250362	-0.539545606148849
ATP6V1E2	-0.198675763173273	-0.129358146277402	-0.167947172247387	-0.426611162944328	-0.344136439466651	-0.347182808486682
ATP7A	-0.354762780076766	-0.167678081614987	-0.399195879411314	-1.07046384269195	-0.499704049743656	-0.953134121737369
ATP7B	-0.0505173365036608	-0.0847044457257903	0	-0.119143770412843	-0.220706718646485	-0.0110835024624411
ATP8B3	-0.146690064785547	-0.173419727511673	-0.0985498326122236	-0.276212230208115	-0.400825992570283	-0.253585045906182
ATR	-0.394487580013321	-0.470778031697243	-0.369614946692452	-0.999752264882659	-0.640263956160464	-0.795926983202835
AXL	-0.0761531990700004	-0.118437533781024	-0.115554932065652	-0.0309610977912779	-0.152228610613328	-0.140907178654758
BAP1	-0.0706140092448281	-0.12642950792335	-0.120584494631171	-0.0496394821655532	-0.233975862831141	-0.168130115567648
BARHL1	-0.132862529597441	-0.211971426150742	-0.162526702478886	-0.209453026233345	-0.24597824059915	-0.219510131336254
BATF3	-0.092500646856828	-0.16950418174292	-0.121051562486627	-0.0204358122334407	-0.337053804306857	-0.0532075410173529
