gene	OMM1.D28A	OMM1.D28B	OMM1.D28C	OMM1.D35A	OMM1.D35B	OMM1.D35C
CRY2	-0.0939883383778631	-0.1833026892894	-0.189508534042488	-0.0856805684585145	-0.158714477913921	-0.223063500460877
CRYBB2	-0.139063455477346	-0.220691451298791	-0.171048984246925	-0.129741931725671	-0.222882241363378	-0.222757036766066
CSTF2	-0.0947317459048557	-0.0362590769447361	-0.0653958233846614	-0.10963716687572	-0.0237724931749031	-0.111862568071562
CSTF2T	-0.213743036052646	-0.213031649438223	-0.161706289696991	-0.268501085435424	-0.241422416355394	-0.192811120290196
CTCFL	-0.0744120880404865	-0.014914685199052	-0.0250639215328913	-0.0974871705103104	-0.000109408118884468	0
CTNNB1	-0.19211632632452	-0.332758119561504	-0.335307287525707	-0.186081898350259	-0.399329128637838	-0.39253341613155
CTPS1	-0.554703043026015	-0.763740701939168	-0.592712809400732	-0.832783712929506	-1.09602885411939	-0.73615440549004
CTPS2	-0.250918614297783	-0.0497457701121207	-0.0817760870937493	-0.392153801003448	-0.0563589253545714	-0.18866326517348
CTR9	-1.00496092520467	-0.632945153172464	-0.861819177276424	-1.12194925582706	-0.71709929907036	-1.0406280127663
CTSZ	-0.251011112074561	-0.169055406753645	-0.202163875008774	-0.330122547460563	-0.254306726656064	-0.238347812623849
CWF19L1	-0.2980432250451	-0.199475109139924	-0.0562802536692357	-0.375069087750939	-0.173574590996812	-0.058845554081214
CYFIP1	-0.0829454206813067	-0.0656921039699831	-0.0890427689370081	-0.0979059105248209	-0.0462304881928253	-0.109927780847769
CYFIP2	-0.23052189412001	-0.139453440274321	-0.25442944224146	-0.23172089688273	-0.157758144950517	-0.279422963762082
CYP26C1	-0.0476181726020234	-0.0635887336953538	-0.112774906375967	-0.0679188593424656	-0.0878991709813201	-0.120537260002517
CYP2A6	-0.11285152497939	-0.00646977515394013	-0.0748747642784878	-0.160799121341817	0	-0.0547375057642443
CYP2C8	-0.0701710753257767	-0.0488338538743557	-0.0557013556662342	-0.129633586448415	-0.0811302239395793	-0.0551592490772846
CYP7A1	-0.144335849588733	-0.115394216582259	-0.0784653190592652	-0.212539009279042	-0.142953831027528	-0.0672105476347186
DBT	-0.123017202600875	-0.218796024518892	-0.122745153609659	-0.131261888750504	-0.1892818493242	-0.132390812990081
DCAF4L2	-0.113696063491537	-0.243769152763999	-0.0176052594064114	-0.127572659530644	-0.285409712393452	-0.0106751306617052
DCAF8L1	-0.137890160372665	-0.0458195821288787	-0.171863143245385	-0.105011902644772	-0.0290640006374103	-0.145970211069164
DDI1	-0.116580233529119	-0.126459906109995	-0.168522722924457	-0.0732554833241187	-0.193607986335488	-0.184309263359537
DDI2	-0.271266162096052	-0.272430052144772	-0.252564999093715	-0.448641507087996	-0.391167990749257	-0.344701377460459
DDX17	-0.0996348214833625	-0.105491674477313	-0.0589589942877338	-0.0932991884107009	-0.14616357872816	-0.0571716546656423
DDX39A	-0.0731694786970625	-0.106414976518366	-0.107657514256341	-0.122516543031441	-0.06611156991954	-0.0843584632656754
DDX39B	-0.0898876951307447	-0.185143334631142	-0.103476118598093	-0.10649355041374	-0.220366977408421	-0.110427138882624
DDX5	-0.567500417044322	-0.479982448945919	-0.493459333808279	-0.702188012457728	-0.666370649946996	-0.676098511099868
DEGS1	-0.154441136577568	-0.0256920180110764	-0.100337743365563	-0.110383071773345	-0.0137645777071068	-0.104068049851462
DEGS2	-0.0602306740956345	-0.248947060218921	-0.0127523786200956	-0.05423202905944	-0.221320683056718	-0.0423067515246675
DENND5A	-0.161102587241315	-0.0484329473882378	-0.146278753249595	-0.110538176577675	-0.0729351849955849	-0.100129857450854
DENND5B	-0.0528780197369719	-0.0344980766955015	-0.0632159295490699	-0.13441957424784	-0.0678011028014024	-0.0723029269089724
