gene	Mel285.D28A	Mel285.D28B	Mel285.D28C	Mel285.D49A	Mel285.D49B	Mel285.D49C
EPC1	-0.622926896797487	-0.210332231167348	-0.576787628838832	-4.5571593935152	-5.25752143638939	-5.38505034724001
EPC2	-3.51906892384662	-2.63346419072137	-2.16650710157684	-6.7568725600956	-6.12024470172687	-6.47494245022907
EPHA2	-0.407292900894571	0.143192088149108	-0.00215756471045218	-4.05207769219974	-5.43728684750871	-3.88388543602008
EPHA3	-0.49588869544888	-1.78076062736866	0.161881695663465	-5.0248766032138	-5.85338982607034	-4.93709158005782
EPS15	-0.764625995461148	0.448766034247022	-0.51121267742857	-4.94432313812626	-4.28706788800264	-4.85706236871887
EPS15L1	-0.704647104748974	-0.803060797090643	0.842371845332722	-4.59706562995641	-5.27068651414794	-2.97656806757629
ERBB3	-1.60780770647429	-1.89371679913922	-0.731653078827274	-5.11252484545425	-6.4996461314204	-4.57156843910704
ERC1	-0.448809099899421	-0.941756536748726	-0.118437040493607	-5.67479478494253	-5.55262462085797	-3.95110563912837
ERC2	0.524816509567132	-0.0719162387382343	-1.15104340735478	-3.98470956664537	-4.09530337633322	-5.40305374729029
ERH	-1.5913074107712	-1.76772671415741	-1.30689317665305	-4.27188675690506	-5.46266861178206	-4.95426706536997
ERN1	-0.334931832428733	-1.30091149918629	-0.719367633650387	-3.96733845305147	-5.8468563490728	-5.83363482426622
ERN2	-0.515341585023208	-1.23285993385949	-0.624033220806676	-5.10542416385691	-5.32466092093472	-5.66793540106182
ERO1A	-0.0354655535961047	-1.5481953599488	-0.691619179261059	-3.9441408480575	-5.85111067528186	-5.45064808240859
ERO1B	-0.291961145871442	-1.41869945480896	-1.33540090494551	-4.51105604904981	-5.47341808109649	-6.25735121741104
ESRP1	-1.0887778419866	-0.956832836814227	-0.827033837486929	-4.66971134046715	-4.58909170932074	-5.31208984365199
ESRP2	-1.77469593436738	-1.76223992895214	0.370755220428248	-5.8117913457708	-6.605941883997	-3.28081923879119
EXOC6	0.0778276282720861	-2.30301386876813	-1.54982944683182	-4.47275463759874	-6.35522825231182	-5.73713665425062
EXOC6B	0.212465154035877	-1.77564414340997	-0.965772738079208	-3.73852123996603	-6.14484063036133	-5.76196796756986
EZH1	-0.233147483385617	-2.73809476516622	-0.0947172697545391	-5.29450426062318	-6.31559842227144	-5.05985114228961
EZH2	-1.39670895359012	-1.13284946765064	-0.824762578764411	-5.92213374204531	-5.17363523632084	-4.63766255147939
FAM126A	0.915125588972464	0.00812288342000066	-0.936858572870085	-2.50802512173798	-5.12435639054861	-5.55314643220658
FAM126B	-0.37757280442683	-0.53646985584718	-1.7585216715858	-4.32918944450124	-5.02017673709665	-6.40677857088861
FAM50A	-1.00493816754638	0.0412221512001922	-0.811481176500694	-5.15624244180896	-4.60279912334057	-4.92105028033061
FAM50B	-0.321468527699694	-1.2862349365809	-0.558395681777574	-4.67095898253974	-5.93606099334459	-4.40543812015041
FAM71A	-0.688870436294147	-0.183042914409188	-1.75660050975266	-4.57547217462543	-4.11526451368693	-6.57515157213213
FAM71B	-0.416430876709777	-2.23574705004145	-1.25211237711259	-5.0042475343958	-5.61903039718428	-5.38870884156991
FANCF	-3.10508483038626	-3.22713335138079	-2.86883825474085	-6.83972412723138	-6.31476324820981	-6.01866695956579
FANCM	-2.72378526011941	-3.47466492756117	-3.61251007438686	-5.09818160406095	-6.40528142479485	-6.79803824915132
FARS2	-1.47555698702425	-1.25413172988737	-2.34805635334513	-5.42481508562086	-6.09093437775313	-6.24865235271006
FBLN1	-0.575395500914257	0.0688621326023627	-1.97848293456414	-4.90068162800809	-5.36886056120334	-5.82046978346587
FCRL3	0.200560837980756	0.35885284212158	0.238264035190088	-4.82770098284917	-3.78918289620257	-4.31992752218386
FDPS	-1.97583132367846	-1.66941425567344	-2.48344667952659	-5.15856934938841	-6.51567511096978	-6.15126302810624
FEZ1	-1.12367538857564	-2.04915809451458	-2.87689079217933	-4.61932322708113	-6.36869151864958	-6.67009705687988
FEZ2	-0.590374672952686	-0.425304241657705	-1.48666456416762	-5.19097179059505	-5.06945812124483	-5.43945282205186
FKBP10	-1.72066183854423	-0.133400541964728	-0.928335361487891	-6.01039710919348	-4.78944462308218	-5.16343598304621
FKBP4	-0.475850229212368	0.200035251323341	-1.62358878189861	-4.33951234183037	-4.24381826877516	-6.84487696719204
FKBP5	-0.0230287734372095	-0.185101139916931	-0.698124337571314	-4.06996483670526	-5.65145734209985	-5.24788041759913
FKBP9	-0.825853514832205	-0.183644662905158	-1.46008058289923	-4.99202224690985	-4.77450047612649	-6.4303661209972
FLNB	0.53247515571581	-0.991286605028021	-0.0279248883837892	-1.99459239881495	-4.97261755220107	-3.98149774514561
FLNC	-1.01968824811226	-0.94908344484687	-0.846058555051175	-5.06213144297441	-6.26182293876841	-5.95449849856999
FLOT1	-0.337929096553888	-1.29057469519248	-0.130956187789136	-3.95945151593025	-6.27927247168348	-4.39155998211345
FLOT2	-0.090674602399454	-1.01388748239224	-0.697489693986571	-3.22712359994772	-4.4279481213332	-5.54687275174261
FLT1	0.00799151623018256	0.247561838948202	-0.320465472906422	-4.40009548677355	-5.02946024031365	-5.07506608967443
FMR1	-1.48442352550567	0.0358745018453811	0.146811750587854	-5.79627104238566	-4.86433012285573	-4.16732839994684
FNIP1	-0.227562692582676	-1.62375447159079	-1.35516466007202	-4.8058322110077	-5.88710092102252	-5.35333898393154
FNIP2	-0.111394350090919	-1.56804697451377	0.202010507735989	-4.48451110770553	-6.10262274277933	-3.73392612925937
FOSL1	-2.17004901177603	-2.55710533302116	-2.45833108235805	-6.55266610492664	-7.33500218374472	-6.62317153047227
FOXA1	-0.505026350196812	-0.446650024072806	-0.753812524475401	-5.28432957638935	-5.27032029013041	-5.42543553610866
FOXB1	-0.679868977068486	-2.10279836270956	-1.12825207180299	-5.12961441984986	-5.95825882660431	-5.34902697253874
FOXE3	-1.19729455544396	-0.774369379436659	-0.355448873869205	-5.7615660438102	-4.86653177190582	-3.24872776213723
FOXK1	-0.472632114144336	-0.266919188886784	-0.695495162977116	-4.57013286460862	-5.21850293691222	-5.26519481728019
FOXK2	-0.249500066008316	-1.39168988393601	0.265640958004219	-4.91659560290129	-5.69181812083446	-4.34378532109411
FRS2	-2.69209453297159	-3.52652198810897	-2.52712754443872	-6.74769491047877	-6.57094637177221	-5.84279597649444
FRS3	-1.20854733033638	-0.957529662772653	0.192010180355908	-5.87931632527226	-6.26367370843179	-4.84153380803304
FRY	-0.383346208124059	0.422256393094591	-0.704603415308799	-5.15625437575805	-4.06604540757809	-5.37066440010838
FRYL	3.58009058323548	3.19853269800268	3.04564522106603	3.05521987172711	1.33398585035281	1.27933508852461
FSD1	-0.100364183546936	-0.199134568023858	-1.02726522747866	-4.24699767522451	-4.97384781672888	-6.18448433162383
FSD1L	-0.341462826230851	-3.01707738269535	-2.66858563598067	-5.33276807200125	-6.26377815641377	-6.68922317746889
FUT5	-1.64942002280256	-2.25832709226546	-0.282884759897341	-5.34717815656664	-6.08427429594083	-5.01499276367728
FXR1	-1.34034547962869	-2.33144911882749	-1.27366220721607	-5.9356837805248	-6.72232485529853	-5.96263505492544
FXR2	0.167943750526485	-1.22385122302776	0.0153035187792631	-4.28250638263161	-6.02073910702983	-4.49397801936588
FZD8	-0.650566851307124	-1.11584529826629	-0.18092447811562	-3.62613849010645	-6.30995517358749	-5.01655090691717
FZR1	-2.79904203104408	-3.18915239810625	-3.19504719899955	-6.57145913170042	-6.04137105526447	-7.21497839411446
G3BP1	-1.55954156001096	-0.158300219845216	-0.107202657207523	-4.72638087471647	-5.26313869035723	-4.64287718365057
G3BP2	-1.58461929223681	-0.996691921926626	-0.91867743906794	-5.43557052453769	-4.51987620160061	-4.52969421413971
G6PC	-1.16585421404929	-1.75400390867991	-0.558195983886066	-3.68458980950882	-5.16443070729151	-4.78611486631138
GABPB1	-2.00075010294945	-2.2220717239123	-2.24559189912036	-6.36478754426777	-6.28958108612578	-6.25882314992457
GABPB2	-3.32495958491705	-2.09474524115075	-2.49620690136123	-6.7641379594366	-6.23517926080806	-6.07055305211936
GALNT2	0.16397842367734	0.537348168328144	0.508136656401708	-3.88839358545157	-4.05373351614801	-3.70102902605827
