gene	X921.D28A	X921.D28B	X921.D28C	X921.D42A	X921.D42B	X921.D42C
ASCL1	-0.323244080174465	-0.322337621301244	-0.371995048377165	-0.201775050486286	-0.24599254323454	-0.40732915199745
ASF1A	-0.467511940721491	-0.375501619150576	-0.410843025929885	-0.785218699073169	-0.618362324604109	-0.687994138025494
ASF1B	-0.508686009539183	-0.541335536737742	-0.643881151151988	-0.590252135135488	-0.64209882033024	-0.833513872412051
ATAD2	-0.482840862235636	-0.365152160089228	-0.391898100175903	-0.556520555119863	-0.385194530974644	-0.46098298226475
ATAD2B	-0.268361958165236	-0.222236436301005	-0.258722596178065	-0.372795642680759	-0.109577922699673	-0.16279362603464
ATM	-0.127933051162259	-0.129154721699415	-0.11009880114342	-0.402515725751632	-0.522760351180807	-0.367467671062373
ATOH1	-0.0717520327521251	-0.23067042918304	-0.216205059388748	-0.0579908502942245	-0.181791783777265	-0.293246755884937
ATP5F1A	-1.03005246742009	-0.899929076089774	-0.769322434131975	-1.26424632929668	-0.976929820752617	-1.18360847833577
ATP5F1B	-1.23517636940565	-1.14746510051923	-1.15921490287758	-1.64851121384066	-1.46041154499524	-1.38621629006543
ATP5F1D	-1.03872918321947	-0.905451557296892	-0.972162195233612	-1.10803218695311	-1.25428270793735	-1.20957616275062
ATP5PB	-0.571039538098523	-0.659168867265922	-0.663558899170891	-0.691827386942455	-0.734773784658587	-0.828183143924977
ATP6V1B1	-0.242154470433598	-0.315535193838936	-0.258926460890384	-0.215465766577548	-0.316894957440968	-0.334269284360503
ATP6V1B2	-1.16772614833865	-1.42790901028789	-1.31405460186472	-1.53704155332181	-1.67799506243828	-1.75194695696
ATP6V1C1	-0.986714026634041	-0.964934152477241	-0.850514582789517	-1.25103805631133	-1.03708699513837	-1.02086105681152
ATP6V1C2	-0.320960648190892	-0.414908418199608	-0.442264361691978	-0.399811302227203	-0.48636246436333	-0.625150099742188
ATP6V1D	-1.13591884011207	-1.08682496003461	-0.934192641543142	-1.43630094436613	-1.59465188595039	-1.21668591582611
ATP6V1E1	-0.760655875149805	-0.763778647027954	-0.617493164011917	-0.958050000699227	-0.799112829758885	-0.516256687839691
ATP6V1E2	-0.342330411964099	-0.240709562221571	-0.276828495139048	-0.375251823074985	-0.299394283549374	-0.307630236289846
ATP7A	0.411993712816004	0.577696894659254	0.486645843263514	1.06276122500084	1.13733939297693	1.02898909644099
ATP7B	-0.0380845764613102	-0.156076850796988	-0.0975815955309704	-0.138303932197569	-0.24073122361317	-0.0801260376395457
ATP8B3	-0.337918958082851	-0.329457987235372	-0.367593411673215	-0.36592237660747	-0.445014822248192	-0.413308182214371
ATR	-0.74769304241387	-0.706204639768656	-0.902435686918728	-1.00894784112608	-1.0616638669379	-1.05819832786779
AXL	-0.31894703037345	-0.26986343300313	-0.351852500087659	-0.503554872340614	-0.285925813786241	-0.47368597638534
BAP1	-0.641691058340109	-0.569385912162956	-0.528595455814382	-0.513896453033782	-0.450572498137048	-0.313549548409132
BARHL1	-0.419066118253268	-0.415679603043557	-0.383421547799981	-0.570858293850862	-0.448694055538731	-0.505958817416164
