gene	Mel270.D28A	Mel270.D28B	Mel270.D28C	Mel270.D35A	Mel270.D35B	Mel270.D35C
CHM	-0.119531959358173	-0.0474694879061781	-0.163945973978186	-0.125973347993553	-0.0862839773661687	-0.281713198438118
CHML	-0.117512627951469	-0.308817298560823	-0.195818726515499	-0.027913854013924	-0.194942884365779	-0.152636595057288
CHMP1A	-0.15718963948832	-0.197655100403478	-0.238093736947549	-0.206283139017631	-0.213461331753596	-0.275212735295345
CHMP1B	-0.173808701574285	-0.273210827536894	-0.114334085308521	-0.119042196366095	-0.250422480620749	-0.123120017694554
CHORDC1	-1.1205009480778	-1.14874574887545	-1.14166460940802	-1.10189973775058	-1.16573393706656	-1.36103883045118
CHRNB3	-0.345868394133656	-0.199924953405052	-0.244232085514279	-0.333617970374094	-0.205272387141441	-0.294432498193663
CHSY1	-0.0292308792322254	-0.00735710004116287	-0.036238955626059	-0.0474696312341173	-0.0242258871266149	0
CHSY3	-0.272294823406184	-0.0732523560085389	-0.0302138446883027	-0.304734446380238	-0.0703930400059006	-0.021075594410235
CHUK	-0.261393349553453	-0.132846181545837	-0.053616203277957	-0.314981442334695	-0.164812981602661	-0.0665969247789738
CKAP5	-0.634544268040965	-0.46228056224853	-0.486467218573891	-0.592932748493495	-0.318145913885173	-0.4903165068374
CLASP1	-0.116946039297707	-0.084721864761427	-0.0943920357023448	-0.155718638852611	-0.110098842714265	-0.181523957697953
CLASP2	-0.12384133080925	-0.248387687019773	-0.217387691599188	-0.124768808339156	-0.279359760844877	-0.325742962148304
CLCA1	-0.157769583454804	-0.0214649851371174	-0.0636738889367002	-0.219206484336133	-0.00275362945119518	-0.0624360856005807
CLDN4	-0.234272563020147	-0.224296031086365	-0.2359595273565	-0.250579240389745	-0.215609663095838	-0.223068053851272
CLIP4	-0.154137594003845	-0.105326684124628	-0.0542969503830825	-0.0975580240529192	-0.105513443315805	-0.0967899197430396
CLNS1A	-0.82617441141524	-0.686915165365308	-0.75799401776783	-0.898603983994023	-0.638097075130991	-0.793461583302815
CLTA	-0.23677897180106	-0.227015063438937	-0.124138113383362	-0.205413060147722	-0.183162432620727	-0.0686870168641243
CLTB	-0.144754115707537	-0.145053149840878	-0.254716251956869	-0.197557703676991	-0.153017172994123	-0.25808155503146
CLTC	-0.550078034709671	-0.571772786970404	-0.755805736469193	-0.583646558026825	-0.667161071114255	-0.843512022609968
CLTCL1	-0.204592933216934	-0.0886331504371854	-0.0575750726368888	-0.114464382093471	-0.118481448350879	-0.068742354858208
CNOT6	-0.0834606893013229	-0.102487171416517	-0.393355060690732	-0.0677916415418949	-0.15222909869952	-0.378205071137997
CNOT6L	-0.0556466072409326	-0.132648824087096	-0.0700149101919756	-0.111064858577547	-0.109382684233968	-0.0357759657660799
CNOT7	-0.496234435834987	-0.427946193041153	-0.465509151917745	-0.578105172997472	-0.360793992114789	-0.622481215038813
CNOT8	-0.114440483612697	-0.214056632537025	-0.128673447761567	-0.17395632010954	-0.239243848072549	-0.180319046888301
COPA	-1.08725027630606	-1.03225854946447	-1.33104580223934	-1.07624642718074	-1.1834611237507	-1.43159125590944
COPG1	-0.348204944827051	-0.285784482445347	-0.244768907429218	-0.37703771416842	-0.284916815641642	-0.234729136046902
COPG2	-0.344748581563025	-0.352020954593423	-0.297055307564658	-0.286292041070394	-0.317934314795629	-0.253820331892451
COPS7A	-0.170665962841886	-0.385132503041524	-0.331624593388759	-0.263535971264171	-0.409418183647751	-0.376903663346327
COPS7B	-0.317928286500568	-0.436540941286863	-0.152565338047429	-0.44451790359282	-0.251793814285333	-0.167625270916457
COPZ1	-0.519621382188342	-0.405031813898506	-0.624118525334853	-0.558221959608236	-0.466262735553656	-0.574241006940874
COPZ2	-0.0943420060248609	-0.0771894364454079	-0.0203049573543855	-0.128305704783398	-0.077908863596441	-0.0458752027701754
COQ10A	-0.38132735171127	-0.237133288336121	-0.549720932909384	-0.229015336554174	-0.207294061309331	-0.593241838214426
COQ10B	-0.12635970299508	-0.0711794989341159	-0.172348984903964	-0.0493594832488992	-0.0630055895607324	-0.152024288644655
COX4I1	-0.311777661312168	-0.158064875536511	-0.303266500284793	-0.330592639751909	-0.181690292019537	-0.449569139683003
COX4I2	-0.329254706709883	-0.287331034222035	-0.201566549279941	-0.355626605597436	-0.332395542370753	-0.244032181046123
COX6B1	-0.235207811928074	-0.13582416011978	-0.209021385509105	-0.257041829985791	-0.17983962936823	-0.26618696792103
COX6B2	-0.131111190959601	-0.187090619610102	-0.336526639006627	-0.219854555914014	-0.180471567067586	-0.347630124912184
CPS1	-0.138167250423518	-0.310994930261758	-0.184131275978176	-0.158952077880265	-0.270113424929147	-0.20150591059055
CPSF3	-0.580696538231213	-0.738216085757508	-0.64796882127673	-0.456106336434886	-0.944729723760349	-0.446614433904424
CREBBP	-0.134471285371137	-0.14640262873602	-0.110908164661218	-0.121825784519975	-0.219332507614706	-0.194294178278768
CRK	-0.258933967538925	-0.51961602091662	-0.363603768217513	-0.311176695885141	-0.548832718795381	-0.476833491776557
CRKL	-0.190995284932683	-0.372173693658286	-0.0990628868725997	-0.289590466753977	-0.427621850262622	-0.152203926097418
CRNN	-0.203625746710352	-0.155073869018366	-0.374574485480158	-0.171868334870546	-0.129508009729392	-0.377332882446966
CRX	-0.233363616127982	-0.0895370159311003	-0.284028248736582	-0.361557927695637	-0.136867315317549	-0.361732129956759
CRY1	-0.159488542903206	-0.179126876841474	-0.0795343825868907	-0.138928774572426	-0.147568344725796	-0.0989276525696871
CRY2	-0.327467662004291	-0.286932006130771	-0.210271219221103	-0.405560765571931	-0.335015103109654	-0.260244846843094
CRYBB2	-0.130695264125722	-0.130028234382793	-0.191519664673522	-0.214531034467879	-0.140451196606453	-0.20304588028435
CSTF2	-0.0719325247989689	0	-0.0782558799710168	-0.079262864825943	0	-0.0346013154482867
CSTF2T	-0.0397204495030883	-0.179899243456751	-0.240329919462308	-0.0784011933841648	-0.151067853184191	-0.29072964159982
CTCFL	-0.0425282890295929	-0.173186095734699	-0.0614629837752241	-0.107636674611527	-0.243247517692047	-0.161499005285169
CTNNB1	-0.432240741850319	-0.237741189217018	-0.329106816155872	-0.43768572574906	-0.284619612559471	-0.337925697771818
CTPS1	-0.200825054820893	-0.156814249945441	-0.0857620178037334	-0.268053036004933	-0.106557382394853	-0.145398677586263
CTPS2	-0.0527060198262283	-0.370209594404917	-0.0705663192134231	-0.102452005127052	-0.465695393571092	-0.0392597758542769
CTR9	-0.554270987892954	-0.768321710497725	-0.516149715701292	-0.476622718526128	-0.844328524845128	-0.560121382162858
CTSZ	-0.387623616687726	-0.190660771981515	-0.256924477271467	-0.456580242111571	-0.233683143820314	-0.199793588094675
CWF19L1	-0.186320640587901	-0.124934268581987	-0.246843546848031	-0.254012567106184	-0.108555501657743	-0.28140690003239
CYFIP1	-0.145219828623252	-0.129615558565513	-0.223886436435833	-0.125862847852207	-0.124450999704487	-0.160137437143588
CYFIP2	-0.0571890495643508	-0.1637712556311	-0.149462446498247	-0.0221922686160198	-0.0892607620700867	-0.192008300583619
CYP26C1	-0.260680447197319	-0.2597276601899	-0.19692540270765	-0.299102797565224	-0.226745335104261	-0.190108796153041
CYP2A6	-0.295781400499777	-0.285767487508036	-0.0614937483781309	-0.232952790907899	-0.383695447749163	-0.0342969002304635
CYP2C8	-0.0920539170128656	-0.151811256574037	-0.0261470953296128	-0.055436267660933	-0.0939432426114461	-0.0385766895386413
CYP7A1	-0.269760318300431	-0.0713806301244736	-0.268103553134967	-0.3575084564399	-0.00921417870791251	-0.288358924292224
DBT	-0.178776501713201	-0.260547849577348	-0.209885836442054	-0.111260093213626	-0.209707287813405	-0.238523451733352
