"921 D28A" "921 D28B" "921 D28C" "921 D42A" "921 D42B" "921 D42C" "Mel202 Control D7A" "Mel202 Control D7B" "Mel202 Control D7C" "Mel202 D28A" "Mel202 D28B" "Mel202 D28C" "Mel270 D28A" "Mel270 D28B" "Mel270 D28C" "Mel270 D35A" "Mel270 D35B" "Mel270 D35C" "Mel285 D28A" "Mel285 D28B" "Mel285 D28C" "Mel285 D49A" "Mel285 D49B" "Mel285 D49C" "MP38 D28A" "MP38 D28B" "MP38 D28C" "MP38 D65A" "MP38 D65B" "MP38 D65C" "MP41 D28A" "MP41 D28B" "MP41 D28C" "MP41 D32A" "MP41 D32B" "MP41 D32C" "MP46 D28A" "MP46 D28B" "MP46 D28C" "MP46 D64A" "MP46 D64B" "MP46 D64C" "OMM1 D28A" "OMM1 D28B" "OMM1 D28C" "OMM1 D35A" "OMM1 D35B" "OMM1 D35C" "OMM23 Control D7A" "OMM23 Control D7B" "OMM23 Control D7C" "OMM23 D28A" "OMM23 D28B" "OMM23 D28C" "OMM23 D35A" "OMM23 D35B" "OMM23 D35C" "OMM25 D28A" "OMM25 D28B" "OMM25 D28C" "OMM25 D42A" "OMM25 D42B" "OMM25 D42C"
"Mel202 D28B" 0.83523829260981 0.821243307843064 0.816701927459197 0.67126921072844 0.665004409729426 0.666729038632797 0.652306267808239 0.660789192918528 0.659822792513225 0.923830770336036 1 0.923259753076221 0.850318483891277 0.850056823359869 0.843431226664136 0.816715160612715 0.820643823419421 0.808888496253164 0.238389668969423 0.208066928260832 0.214373344161558 0.0847801908292053 0.085055508556595 0.0933273743377918 0.830128106646803 0.822062487266184 0.843310771824331 0.412497961241725 0.642524276532288 0.693796302475287 0.834033448106427 0.828434973702851 0.81310289933085 0.820631509221751 0.828489917277288 0.817916761910275 0.663871224407103 0.655230201905922 0.636802594814465 0.179019884147517 0.139445740246777 0.168335023287777 0.782717253201845 0.816239172377067 0.802076298319918 0.743194673025319 0.778471103514049 0.769995518962147 0.567581480763069 0.558682178822656 0.580036972697094 0.831286010618316 0.854229581713504 0.83191498424373 0.836221626706403 0.81781048170254 0.813267693481404 0.834489817533019 0.836231210148104 0.846750887319984 0.776418868697031 0.766605221529528 0.742043987609972
"Mel202 D28C" 0.828625357131904 0.812718879141091 0.809475351216345 0.670198053048606 0.663278561164329 0.665421925774685 0.641333687130418 0.647856055549379 0.646771712890491 0.920418342824314 0.923259753076221 1 0.849304879083371 0.84851777972469 0.84623651410459 0.818759755189027 0.822858419635816 0.81321627042729 0.239215420097385 0.218858126925679 0.219965992725304 0.0859820112776265 0.0959902923939265 0.0992823034338892 0.814002259092525 0.80521166585188 0.828648386108955 0.409200036406683 0.637111364998117 0.689143335158227 0.819362382690384 0.816576457758764 0.798812763095297 0.805212845998758 0.816849166093693 0.804927845403035 0.660896179986604 0.655695503901048 0.630330201453191 0.17953217257507 0.14805529880046 0.168902839611393 0.770244797062363 0.80346351746456 0.78956720224984 0.729422738742247 0.766138866810956 0.760173339748091 0.555160543055022 0.547151882221941 0.566139737061684 0.815127107040812 0.841250168055256 0.818803558706303 0.819936112398538 0.803290206136118 0.799593277500463 0.823363287112719 0.826676191522399 0.836618802962379 0.765219608922738 0.758867254014346 0.73443685159977
"Mel270 D28A" 0.824239198000241 0.807540065147504 0.804417261784547 0.651635026632435 0.640977178802024 0.648969351594923 0.649740188932675 0.655450640429155 0.655201652465844 0.841388625176839 0.850318483891277 0.849304879083371 1 0.90912686867689 0.903039659420569 0.974654810679086 0.888002079968001 0.874012722370336 0.295090405758333 0.250730984651822 0.27208015601889 0.133688876594555 0.110059756241934 0.138459444378026 0.822727328254937 0.81546810528124 0.832287167937403 0.416551593889898 0.634426768716568 0.68536582028013 0.817711324968745 0.811357431915735 0.799081652366465 0.804843522081646 0.811815203500064 0.798072791295282 0.680929978497609 0.669335268357766 0.650182653484208 0.18263075173905 0.147796414498084 0.165795896539058 0.774784214275379 0.807881369655404 0.796442598400482 0.734867652172929 0.771400032413312 0.767137693739721 0.590301819221209 0.583524405671964 0.599042791073632 0.80785501950832 0.820634334379888 0.808465393481018 0.809038515027709 0.789554407563442 0.790149104110671 0.830620717759506 0.828976862185547 0.836897400669933 0.772191121216381 0.758280772955201 0.733613430024652
"Mel270 D28B" 0.818728055661605 0.800869652396468 0.796309544915875 0.646848518473551 0.63328804678885 0.640566610377205 0.660660907851585 0.667145170463936 0.663040721785367 0.840622509178461 0.850056823359869 0.84851777972469 0.90912686867689 1 0.906941682508247 0.883552318957213 0.977746422818955 0.880227329092203 0.293146357706327 0.273431503426405 0.288212183066792 0.12161510888692 0.134650802404165 0.159813396565554 0.824443660864312 0.815145948669937 0.834268447208014 0.419964283045793 0.631330665298786 0.689335093472417 0.821401631031675 0.818869690729949 0.801653043021979 0.807928040303651 0.816814372693865 0.801180888456021 0.682405549764493 0.668495730295613 0.652726171834147 0.185113921440464 0.150403760682951 0.169251121989504 0.776549443946105 0.805009398421257 0.794705273946598 0.734879024635797 0.768657379856509 0.766028868286002 0.593905417997008 0.588371573139279 0.603417134803445 0.808507009613044 0.823768321177083 0.811288637894066 0.810194832450202 0.794095665465585 0.794343596601196 0.831040032208969 0.829924414143658 0.839556047846357 0.76988786931077 0.76264430098619 0.736135941389865
"Mel270 D28C" 0.813156392134761 0.791802342094151 0.789698693208598 0.646892406593125 0.63137857326352 0.641071213495023 0.645334578684197 0.647926001118072 0.645045588602938 0.835602805599053 0.843431226664136 0.84623651410459 0.903039659420569 0.906941682508247 1 0.882016039925007 0.888357522220961 0.975526331216162 0.31020414264421 0.280658822205734 0.311778765908291 0.148175117068922 0.128195274022778 0.185542038722869 0.805954923186835 0.797200162248687 0.814004818084896 0.412355144703001 0.627080184386651 0.678273744854136 0.812094820837365 0.810290772145668 0.792698799740412 0.798123481080196 0.807382747467779 0.792934676261563 0.673789238899637 0.666198444967932 0.644666002642524 0.184288834273217 0.151007780037977 0.169758452094469 0.766835445109876 0.798690042781467 0.786140019455757 0.722247173131614 0.764185622307727 0.760681569235758 0.578879667120839 0.573894181482504 0.585461363136308 0.797143156758923 0.814907307487557 0.802154705652308 0.798726160936422 0.786278884040262 0.788820899227107 0.824796367625547 0.821480402457277 0.831721253008573 0.767538740231346 0.756529032649274 0.732716522457035
"Mel270 D35A" 0.786271505721362 0.768443842734608 0.765080742806925 0.63508284959494 0.623257403964339 0.629406617082128 0.592426618438035 0.598067287480489 0.594822148596151 0.807725856064155 0.816715160612715 0.818759755189027 0.974654810679086 0.883552318957213 0.882016039925007 1 0.876526879524751 0.871738889364163 0.351173606467123 0.307555835804173 0.331753076728597 0.165149632773084 0.142647880892587 0.18958596832022 0.76703628196928 0.75847103090365 0.777269249443331 0.400399066238249 0.609884518050397 0.659648364463279 0.77021609223194 0.766417818167356 0.750977515954916 0.759821140451596 0.770043319245025 0.753721881520447 0.643616086798968 0.631354375824985 0.616003511227375 0.178422892918624 0.142466960754857 0.16502197890268 0.737857820949773 0.763575849795367 0.756355273575286 0.69983813272915 0.734195177270105 0.734596082465721 0.530692751040439 0.524379516419173 0.537521969940192 0.756720732391461 0.771901573542548 0.758648540011698 0.761051276146669 0.744031965632386 0.746447836314683 0.787125166620792 0.784142415447098 0.796469271655894 0.741784475896502 0.728849150409352 0.708943021958823
"Mel270 D35B" 0.782652895905868 0.765288159206268 0.761704231553138 0.630667162700272 0.61714042477695 0.624648751138767 0.605577192154452 0.611500288553664 0.610518444914919 0.812867509846939 0.820643823419421 0.822858419635816 0.888002079968001 0.977746422818955 0.888357522220961 0.876526879524751 1 0.877491170477291 0.353621533243847 0.344641691801423 0.346025078042191 0.165203343436361 0.188140016871525 0.211768316565299 0.774338918133055 0.76282286149056 0.784042862479464 0.40705477904095 0.609997313826859 0.666626509941199 0.780277964270643 0.775922987640136 0.757422810447017 0.768705934206255 0.777688282252916 0.762545437287244 0.646095955169296 0.636647484992536 0.620837404667832 0.181832301454881 0.141823885719562 0.165142240300434 0.738769837234678 0.765071865921948 0.755263622615967 0.701112285182322 0.733519842088682 0.734686072434468 0.531905591735304 0.525599545000053 0.543227437279375 0.760543928596262 0.77876724398269 0.765039722410951 0.768987148628101 0.750064815390517 0.752160940014863 0.787930258658131 0.788797266824212 0.798514974966504 0.742827435622048 0.736474855843194 0.715196337804971
"Mel270 D35C" 0.780265878967078 0.757701353242413 0.757709052501548 0.638670516374093 0.6161734808593 0.630824665419425 0.58598085591766 0.590036324170666 0.5853098829412 0.802281559348211 0.808888496253164 0.81321627042729 0.874012722370336 0.880227329092203 0.975526331216162 0.871738889364163 0.877491170477291 1 0.387311651369838 0.362001654823136 0.395913475661011 0.203390340128325 0.180781739997615 0.266638188816585 0.759034306160922 0.749550646092294 0.765336000195739 0.403290650569099 0.607773931045926 0.661837987389239 0.77273042988447 0.770037319765558 0.751704815604558 0.762094049667806 0.771117354436751 0.754048401770119 0.643113170439577 0.633858906642851 0.613842616543469 0.179909471533833 0.147089473260129 0.161607303904808 0.736808287065083 0.763500563522613 0.756719879882251 0.698385315030166 0.73608515525651 0.735792084007127 0.528796889370717 0.524961355351659 0.533739880595432 0.755583172383155 0.77158795365453 0.762236691996064 0.761349994348238 0.750452095526882 0.755056412080772 0.786601996381696 0.785242296817687 0.793799039504651 0.743990698118077 0.734043395338999 0.715670238684271
"Mel285 D28A" 0.221438310797253 0.205056854880149 0.217198996516825 0.25549279733615 0.208789635875056 0.252851096643672 0.112494601653343 0.113338323913244 0.111302891899285 0.220355418697592 0.238389668969423 0.239215420097385 0.295090405758333 0.293146357706327 0.31020414264421 0.351173606467123 0.353621533243847 0.387311651369838 1 0.545270093456225 0.503795386256974 0.755183077178032 0.304532304935175 0.325538956067069 0.181899199579917 0.178962904490966 0.183533899524414 0.131923603413035 0.202083538244259 0.226176568744716 0.213953109010401 0.205388556053736 0.199220077867958 0.22102218491043 0.211238695137717 0.210963718403717 0.19575600599681 0.192818558517563 0.202352695068154 0.0654778884401997 0.0497283942222649 0.0758409834875264 0.191896676487519 0.190838620930193 0.195254378841816 0.189931828772506 0.199466429514651 0.206036498658561 0.0987819949357453 0.0940564592331142 0.0977293335801955 0.184179891139626 0.193473521228583 0.194707285766274 0.205197782381487 0.202958314940845 0.214817710318142 0.209577314497007 0.206003583499663 0.21285007877246 0.24629354572082 0.240295086991987 0.2598316708925
"Mel285 D28B" 0.188921220014332 0.169631679404233 0.175451028922466 0.22843228822485 0.196216193424361 0.211025425341269 0.0833516940946985 0.0853615245128989 0.0820813705173706 0.193215354745803 0.208066928260832 0.218858126925679 0.250730984651822 0.273431503426405 0.280658822205734 0.307555835804173 0.344641691801423 0.362001654823136 0.545270093456225 1 0.609605836933094 0.286262890608427 0.839308993139718 0.512085265192952 0.157006412111538 0.149447978009375 0.154969945842663 0.128738114100775 0.183817638193789 0.227436145330079 0.182379482834908 0.185505986714794 0.166676831754136 0.184673243074045 0.19434907567109 0.178320650938246 0.167964107885112 0.176405310856229 0.185133583265424 0.059518844162667 0.0414902826601737 0.0669748108056537 0.175579707519563 0.15897365711614 0.18431692556447 0.178479597878528 0.168858697617788 0.200447620813325 0.0719265095633824 0.0688358784070626 0.0698820095571695 0.153658290254221 0.159127802840817 0.160730706287862 0.180683748242101 0.172864530681082 0.184999660137081 0.176068715854669 0.183155176451789 0.172355207264969 0.21481859011649 0.237435897632265 0.231011189422549
