gene	OMM25.D28A	OMM25.D28B	OMM25.D28C	OMM25.D42A	OMM25.D42B	OMM25.D42C
KRT74	-0.136625047415673	-0.0918870492410083	-0.0451296849102514	-0.0624337613391455	-0.122110271175626	-0.0970680733458669
KRTAP1-1	-0.0309809851771212	0	-0.0275680319128307	-0.0364275624809862	-0.0365315953039944	-0.0390089652045813
KRTAP10-10	-0.0181591907582	-0.0176026820137644	-0.0621921389933296	-0.0207284608243069	-0.00457536472871256	-0.120638229542321
L3MBTL2	-0.227963481748116	-0.0261737760173625	-0.173176061426669	-0.225419126786489	-0.130554128561014	-0.270139753658594
LARP1	-0.378977937491199	-0.319305430146075	-0.35610816086872	-0.530500011240421	-0.429400876032494	-0.492849217082048
LARP1B	-0.142218461656116	-0.190134323482848	-0.260260988818039	-0.0555211770904648	-0.274940345084385	-0.249079779068059
LATS1	-0.107140182074556	-0.0710833091778023	-0.0150130867349833	-0.0649397826679488	-0.118639094778229	-0.0246992243498833
LATS2	-0.219681259404568	-0.31560489458336	-0.375031384530741	-0.284825095464115	-0.338733150659335	-0.462179833225014
LBX1	-0.0744948560841261	-0.101799055659188	-0.109346681608728	-0.100351794467362	-0.117043858397561	-0.127507394099977
LDB1	-0.220545314452986	-0.189398770108966	-0.192533402032133	-0.246022459518204	-0.228638966516415	-0.256323504269861
LDB2	-0.0609877637473204	-0.049469348207574	-0.0314056943068366	-0.0419398316475926	-0.0393208773364746	-0.00951834378187829
LGALS9	-0.218285167946253	-0.100446948306308	-0.243717379811342	-0.184298247037393	-0.105183711083001	-0.372173113364036
LHFPL5	-0.0491817018049844	-0.0598895178010542	-0.0660216947083493	-0.0601897677351363	-0.046326595762406	-0.124830511641695
LIF	-0.243745467528764	-0.247958343435531	-0.190799460174922	-0.359815504564952	-0.287654828180135	-0.252369840395138
LIM2	-0.100787693360409	-0.117192440023706	-0.0453159208363422	-0.136862762181778	-0.13503547240689	-0.0778782633528298
LIMK1	-0.157938283714608	-0.102588631675964	-0.0565883487753586	-0.217627541509632	-0.116670520230491	-0.0325311888563947
LIMK2	-0.163514551047722	-0.13422154339755	-0.1618289887285	-0.157548243144213	-0.19234478451078	-0.258692748337306
LIN28A	-0.193586658225587	-0.122800075591845	-0.148122992817673	-0.26225137511017	-0.184042907192081	-0.242066543315165
LIN28B	-0.239190599582275	-0.132898905507897	-0.128201509238649	-0.325540397477459	-0.188505586551648	-0.121140760312419
LMBR1	-0.111336601543834	-0.204045699445111	-0.132207979343153	-0.163941108834023	-0.241673495281745	-0.20118805555034
LMBR1L	-0.169308854225695	-0.0864434889160072	-0.0564425799152652	-0.170988741823553	-0.106563852996058	-0.062418206383656
LNX1	-0.0381422252706465	-0.0581258313968995	-0.114265133865125	-0.0643705069904331	-0.102953552635309	-0.111838025069011
LNX2	-0.0847787409179037	-0.0905863424898055	-0.153085710579055	-0.0572620268318313	-0.140375859133065	-0.212309784998626
LONP1	-1.25809138415594	-1.20549604016985	-1.07779982755217	-1.37279030695359	-1.57655832870182	-1.52974269883666
LOR	-0.107743802973447	-0.109132945925312	-0.0767466948103301	-0.171240401475693	-0.127784600456231	-0.133373217055719
LRBA	-0.10965130636043	-0.100489817181868	-0.0738133250167672	-0.0890487669213234	-0.120026086327945	-0.0891868648575828
LRFN1	-0.109674983532478	-0.0907147387766548	-0.0643590766889222	-0.137688182660638	-0.077175269039289	-0.063342515029206
LSM14A	-0.098088693373224	-0.102225997458844	-0.177849596772266	-0.129127483796603	-0.107587626071192	-0.153402948552956
LSM14B	-0.10356408441495	-0.128722352248899	-0.0754792515915575	-0.160777339872895	-0.210603618242344	-0.141065987385602
LSM4	-1.03031090926546	-1.24101616424002	-1.05157788201055	-1.13026287223182	-1.3508981809305	-1.04238480207773
MACF1	-0.179684696912063	-0.110400840603116	-0.102258223435982	-0.20113139191438	-0.108298219966539	-0.164118408709882
MAK	-0.120880614418969	-0.119125229609209	-0.0584539913093313	-0.173932424747714	-0.165619096112454	-0.0674258978175228
MANF	-0.496872323198683	-0.518128297110066	-0.44552452915872	-0.712861970659373	-0.8088669652048	-0.657145450782711
MAP4K4	-0.089694448553464	-0.137826451866067	-0.0515797293526263	-0.0837961523996944	-0.0646846991686567	-0.0123603675743612
MAPK8IP3	-0.059608336436499	-0.157942366037273	-0.121912437548834	-0.115715520773075	-0.284915014347241	-0.193234620787994
MARCKS	-0.0380322550452992	-0.0359316469386547	-0.0512949972437451	-0.0359738220835283	-0.0536748595883312	-0.136521283734231
MAT1A	-0.246258144242535	-0.185492542875245	-0.186974952217735	-0.250266169208543	-0.195624240840736	-0.212355656061429
MAT2A	-0.171678053519244	-0.191935920926993	-0.122038736092518	-0.16000667785213	-0.21789124361484	-0.222638342291192
MBD3L1	-0.183831865450708	-0.112448759600708	-0.105132601219274	-0.222418374307864	-0.192940238889061	-0.208830349271406
MBD4	-0.105688692391934	-0.085006946452748	-0.0929813831634702	-0.124811131610978	-0.0863894537722352	-0.133528466754934
MBP	-0.0960790835045625	-0.0362735637731639	-0.0691012513254788	-0.057147931070237	-0.087985964217964	-0.0832895281791222
MBTD1	-0.328843972848342	-0.236987832071503	-0.268429904767106	-0.374824541050999	-0.399090361509895	-0.379822640228339
MCPH1	-0.142254448515731	-0.117978924921586	-0.0791951736680805	-0.193644084388963	-0.0826637977163775	-0.148073316756857
MDM4	-0.202438597809131	-0.160986781205117	-0.143124926974325	-0.2477077430397	-0.15004416580261	-0.178714959092609
MECOM	-0.107430599290814	-0.0466774411401111	-0.070627182161197	-0.157512954886016	-0.114608176476977	-0.0613816000393405
MECP2	-0.0612080657226986	-0.0746520920991794	-0.0968134782193406	-0.0610709220627682	-0.113533871263965	-0.14550060626427
MED12	-0.536387585576917	-0.390227256515682	-0.516727185139349	-0.753131372899848	-0.759982516749579	-0.847875749620197
MED12L	-0.146080147920739	-0.0898785816230614	-0.121020520371632	-0.231912424878397	-0.146385810240812	-0.163307972662648
