gene	OMM25.D28A	OMM25.D28B	OMM25.D28C	OMM25.D42A	OMM25.D42B	OMM25.D42C
CTR9	-0.884427823710716	-0.786211937167975	-0.968847295525008	-1.05045446470426	-0.94466234165638	-1.19118742297816
CTSZ	-0.140086031441138	-0.0951288667940614	-0.0661416081526592	-0.203920206113508	-0.120518326983139	-0.201046900943598
CWF19L1	-0.198124308892212	-0.179573621526039	-0.232639767701853	-0.259177662644662	-0.251554196549817	-0.311205870139533
CYFIP1	-0.0592116823696482	-0.0395693550586176	-0.164597662250385	-0.139541592343958	-0.0135281728582044	-0.193693194641086
CYFIP2	-0.15897946172478	-0.136947114247384	-0.156268977654699	-0.13759798367143	-0.169218317671634	-0.0918598516054681
CYP26C1	-0.0625179654362882	-0.0545321382938996	-0.0806063874170371	-0.125511876715113	-0.0795729762805027	-0.0881072996673552
CYP2A6	-0.106862149677094	-0.108997961440158	-0.214821966420684	-0.142864941615908	-0.121474688877897	-0.230245664148894
CYP2C8	-0.170978284159612	-0.18195161569966	-0.121120461215888	-0.105315566393375	-0.185949424270805	-0.0396660941361249
CYP7A1	-0.0732081384890066	-0.00553383045308186	-0.0611562381106009	-0.0614616410891147	-0.000668599128764959	-0.172058058646634
DBT	-0.127410279768809	-0.219640150379208	-0.116480451014177	-0.0789635001975736	-0.264471110157452	-0.150485951825263
DCAF4L2	0	-0.0812243058720068	0	-0.0281279338411863	-0.0807558966545679	-0.0542448622457172
DCAF8L1	-0.033362581866589	-0.0580673965231703	-0.0236132261456258	0	-0.117146627267819	-0.0520894275922089
DDI1	-0.143200175338092	-0.0656142625432023	-0.0930731343295252	-0.119560881608414	-0.0987224320113683	-0.157637298679609
DDI2	-0.29562779572772	-0.327297749853383	-0.182951145002976	-0.402693259886651	-0.535722658459292	-0.285767765802518
DDX17	-0.129527937238141	-0.0424417536777474	-0.0494120359860748	-0.151827361237818	-0.0660536365626485	-0.0533741782900712
DDX39A	-0.0721107040517257	-0.0825976980242732	-0.0569093031404189	-0.0723478190189223	-0.0495747637293241	-0.128426735665733
DDX39B	-0.227135461331078	-0.319327853667744	-0.155766912946745	-0.151762517549569	-0.353430346820118	-0.169664713477903
DDX5	-0.299730983518001	-0.16527467695248	-0.230434033767355	-0.487308828548177	-0.177399507329261	-0.333838761302027
DEGS1	-0.0643950607199241	-0.0921419574627322	-0.0192827647236017	-0.0189146955635927	-0.0961990707995663	0
DEGS2	-0.0659576745471565	-0.0316323745533885	-0.0680752010329211	-0.0439379648712955	-0.102858848861943	-0.13938275100097
DENND5A	-0.119626569009575	-0.0806626989896847	-0.0301101906128767	-0.258352406704109	-0.162442605924374	-0.00752471548476176
DENND5B	-0.0600338403269743	-0.0589585261420948	-0.0977582249303201	-0.0659093633202069	-0.151921103112534	-0.078885659227839
DGAT1	-0.11352541711033	-0.0727668697535849	-0.0667480791064824	-0.115362567902239	-0.150496185804148	-0.0718408924587768
DGAT2L6	-0.115911907947969	-0.0581898532767641	-0.263411292291967	-0.098784840293636	-0.0457739423413107	-0.374255815676175
DGKI	-0.0770546075778782	-0.0948071528625292	-0.0674319462881818	-0.0649454376155941	-0.170281024872643	-0.14273087184067
DGKZ	-0.302656643693948	-0.203715531135893	-0.241633236775234	-0.343727440522946	-0.265055048453624	-0.304822897976423
DHX29	-0.261179742369842	-0.345090143381999	-0.402413714611284	-0.223090851058576	-0.363560111704415	-0.594471369074669
DHX9	-0.597114875300669	-1.02641811680631	-0.788639924169182	-0.617833067460354	-1.22958338924144	-0.953428952836667
DLL1	0	-0.00999666849911642	-0.00849906552299564	-0.0231087640741951	-0.0715822779125043	-0.0214993824120856
DLL4	-0.0786873138875912	-0.065016584134099	-0.00445949961914224	-0.0821863289321171	-0.11512161821053	-0.0169436721903894
DMD	-0.0460653654144729	-0.0742263372682587	-0.10809032128674	-0.0201607809089907	-0.143725624492535	-0.0470019943386098
DMP1	-0.384616855912031	-0.134885485217917	-0.124859269554018	-0.375881866190573	-0.0696311793712604	-0.142634395706394
DMXL1	-0.10937378543672	-0.122760532939598	-0.0177894260964712	-0.0768656824592481	-0.0771576770400319	-0.0729514537205713
DMXL2	-0.143599611732157	-0.167398128821859	-0.275884503151907	-0.1944321687542	-0.179275550471723	-0.263207336660406
DNAJC15	-0.0412146536949113	-0.0200774913341971	-0.15255246617268	0	-0.0371951768175597	-0.202617305352915
DNAJC19	-0.292173282292208	-0.200814224145191	-0.0333936003822875	-0.227025762440702	-0.0514168271287009	-0.0617909510780802
DPCR1	-0.123317220184736	-0.0879795797616875	-0.0987024086524922	-0.155218095161985	-0.108091719627301	-0.220758909298158
DRD3	-0.192998696978749	-0.0747187982439449	-0.0703314690310005	-0.130076914895769	-0.0904312774921603	-0.276572057782254
DST	-0.0403291301112096	-0.0755079874055477	-0.0201749419217822	-0.0844490587431968	-0.12328313801222	-0.0499951703024897
DUOX1	-0.0151257131581583	-0.097103350684487	-0.0365397077501326	-0.0844924091961455	-0.163065103529789	-0.101518592948905
DUOX2	-0.0825728746144654	-0.0909004399836501	-0.112552538401664	-0.114289608156631	-0.194500685572834	-0.0550174321140075
DUSP10	-0.137823578728312	-0.125535523730959	-0.118870367361558	-0.117548928971518	-0.123010917647025	-0.0863098518385434
DYNC1LI1	-0.121555445402654	-0.125489442756296	-0.0640020605121608	-0.138843411971078	-0.131055028582855	-0.123340283224071
DYNC1LI2	-0.064224541430484	-0.136007110018736	-0.0428489946396994	-0.0294288876284042	-0.0323169138693913	-0.0885843762923195
DYNLRB1	-0.967308914558131	-0.739021468598214	-0.936324757514582	-1.03803525411931	-0.977580039910252	-0.974637189493214
DYNLRB2	-0.0285980566583387	-0.0199583491776911	-0.0486754654465584	-0.0387548339427858	0	-0.0416043977864911
DYNLT1	-0.0984454124186203	-0.130592486675894	-0.0660983720947815	-0.0350850455544721	-0.0712295217516216	-0.0737933951665466
DYNLT3	-0.0109935290755876	0	0	0	0	-0.0112848309924052
DZIP1L	-0.304906919252161	-0.240412390008115	-0.124170791416782	-0.25293753431017	-0.272253058622685	-0.11524841682592
DZIP3	-0.0532909298182807	-0.0724442300979034	-0.0512579504172985	-0.0580313829020216	-0.0490139320085446	-0.0866015380227822
E2F3	-0.847040732250339	-0.787938774288259	-0.775897999890303	-1.05812662594421	-0.878585498105855	-1.17536121196858
E2F4	-0.00158098338212473	-0.126581710255413	-0.0815644968156034	-0.038759091841979	-0.166421836331674	-0.133424677000617
EAF1	-0.175747731653863	-0.22239315145449	-0.216662753776811	-0.129623990371329	-0.337888251237059	-0.351986022851219
EAF2	-0.192930187547288	-0.0356578842713219	-0.124393856811937	-0.15854913708129	-0.0259015027397709	-0.0995568083071737
EEFSEC	-0.232083271096039	-0.18735522164583	-0.162808542376888	-0.493906090874872	-0.264670659543922	-0.361782788048658
EFNB1	-0.0807118833621294	-0.0379370919479081	-0.044891097423177	-0.0434708039073924	-0.0728911372745623	-0.0451274302951457
EFR3A	-0.248334405395584	-0.108457504183984	-0.163520768584873	-0.315919446136326	-0.110529366983554	-0.217404658504901
EFR3B	-0.098924318817338	-0.216363223952617	-0.0238178797730675	-0.209127204030276	-0.367298208375156	-0.00475222526346511
EGFR	-0.127745163837439	-0.0552308026985767	-0.0624052256594423	-0.135461535440707	-0.0992871295981955	-0.0305676531495108
EIF3B	-0.638093211234352	-0.785500517098957	-1.05584634031431	-0.526069317001799	-1.10957053834521	-1.18643507569619
EIF3J	-0.425933098284468	-0.482721829364809	-0.303432649591674	-0.57050467180732	-0.414788862435688	-0.459921580953306
EIF3L	-0.251371156364673	-0.362691272164492	-0.223542283512721	-0.310990999434017	-0.574125450751139	-0.348205167872627
