gene	OMM23.D28A	OMM23.D28B	OMM23.D28C	OMM23.D35A	OMM23.D35B	OMM23.D35C
CLDN4	-0.128115466437176	-0.106925183848795	-0.0927243462506516	-0.0868039950262741	-0.133591927497256	-0.0726269871872499
CLIP4	-0.0637464719951019	-0.0738860428989585	-0.0962324996266301	-0.00133126184550739	-0.0891840755452873	-0.0811732476622448
CLNS1A	-1.29584431940421	-1.40985698104775	-1.37749873405871	-1.58563351184315	-1.47330590197404	-1.32285801050727
CLTA	-0.174829646284527	-0.193310150921246	-0.234963147057395	-0.147403935668338	-0.205768002001825	-0.200725087104966
CLTB	-0.141064843254139	-0.0520287540081408	-0.137515913899445	-0.145035420556933	-0.116075849428992	-0.132602438626017
CLTC	-1.09006008098283	-0.996247314529937	-0.982583614676498	-1.19719539767428	-1.03219781951795	-0.972809566663478
CLTCL1	-0.269718340873652	-0.229516928735682	-0.275050828905814	-0.303999206793344	-0.352865445309652	-0.298064086202275
CNOT6	-0.0863439777867022	-0.0561936854148736	-0.0830486942670926	0.0104664224275795	-0.10479810919722	-0.0748217132588565
CNOT6L	-0.10702431495	0.0132138488341122	-0.118832962673925	0.0375622724801378	0.0339132735643522	-0.0999390662529799
CNOT7	-0.129495201956426	-0.104736058473451	-0.137592045978012	-0.0310202883349942	-0.166995097190911	-0.0679191567061703
CNOT8	-0.156263917154023	-0.106140803319756	-0.110754969945323	-0.139414443675755	-0.129512566715779	-0.186965639334142
COPA	-1.60646182952571	-1.20311759714277	-1.29961134520201	-1.44406485964379	-1.55770959135652	-1.14973907600223
COPG1	-0.436271858863065	-0.521980190098283	-0.463784943940593	-0.459730985398677	-0.652387596863893	-0.521260587863646
COPG2	-0.159581157777755	-0.137004262206479	-0.156797881472557	-0.0772794280857933	-0.187680262283742	-0.163694970899908
COPS7A	-0.11749831985871	-0.0417248475993069	-0.100262238762699	-0.0517437514424421	0.00860906793369277	-0.0858098889797883
COPS7B	-0.25477479001467	-0.0853908100605192	-0.139139162962774	-0.21993144920821	-0.194704985523687	-0.209577176561609
COPZ1	-0.579142032561609	-0.593326590975021	-0.642723927886835	-0.64208090805918	-0.633869932016514	-0.664418681592159
COPZ2	-0.0998317534413979	-0.0740466481594862	-0.126053647947699	-0.0233482656558568	-0.0325000424708674	-0.145637453287756
COQ10A	-0.283176602611185	-0.24882084124374	-0.216188122576732	-0.329540816688236	-0.170409963760631	-0.2649045414605
COQ10B	-0.281266899591489	-0.350901878541575	-0.290419723687062	-0.266536144996175	-0.391291928216643	-0.295919814859323
COX4I1	-1.01309051426883	-0.784199071388989	-1.07204204303481	-0.956427893126172	-0.868105965847098	-1.11539023100093
COX4I2	-0.237965898273383	-0.132886650608761	-0.160377927825138	-0.261376333780602	-0.157560098799809	-0.183125040019148
COX6B1	-0.985832601557883	-0.943916962005014	-1.0142922406747	-1.02114734651267	-0.965609880763501	-0.981237968736971
COX6B2	-0.174431030651407	-0.073608092391653	-0.094823012437697	-0.229530391974123	-0.0677226165058134	-0.0971211375092863
CPS1	-0.0848654013802055	-0.0726298454031148	-0.0697060636857045	-0.0612746002661667	-0.0547359643864121	-0.011685806784131
CPSF3	-1.06905664477358	-1.1715517147499	-1.1940802252416	-1.34257776604049	-1.33199870063162	-1.18625051408259
CREBBP	-0.10421845081265	-0.140140932993512	-0.150217608794956	-0.0509524340519288	-0.155948178552539	-0.18196104951514
CRK	-0.153865513902566	-0.128550472594893	-0.103648807557794	-0.158291235590825	-0.171623880821639	-0.127207725365542
CRKL	-0.68454680857427	-0.622323748229203	-0.818710904317952	-0.88226291771516	-0.777641093377899	-0.963844907800882
CRNN	-0.0956200474569896	-0.142932327459212	-0.117870326744767	-0.160280666891777	-0.112909533283359	-0.173604721013657
CRX	-0.0493558985015593	-0.119029913752843	-0.173190476630719	0.00630839661200115	-0.120980586472319	-0.121446101908832
CRY1	-0.179001186358617	-0.154481324626515	-0.20503736171816	-0.117156197555216	-0.125565343307658	-0.213879949445107
CRY2	-0.129868983070109	-0.158724120846458	-0.265192159939314	-0.109113016169973	-0.119333691160192	-0.269439430466735
CRYBB2	-0.0926831896303559	-0.0976318771657456	-0.0368193427434676	-0.0967190054224816	-0.110849827922672	-0.0241656443254442
CSTF2	-0.150236306878921	-0.119716937563364	-0.160391420354539	-0.177578108523502	-0.110619570854288	-0.137803865212697
CSTF2T	-0.203177743069209	-0.17759718184124	-0.233494989282387	-0.174811482931979	-0.221428070564112	-0.206310603596491
CTCFL	-0.0780286163447609	-0.0458180569455036	-0.0482256766397825	-0.101252268495511	-0.0915654045966552	-0.105020160052294
CTNNB1	-0.151009510322102	-0.0904877775979451	-0.154383393415299	-0.179344959821732	-0.134480284386255	-0.145601691444726
CTPS1	-0.438766384211986	-0.434961892230609	-0.505912373357547	-0.445904435916571	-0.531300339859338	-0.568087489237271
CTPS2	0.0255374387261898	-0.0575061260515538	-0.00364015048629247	0.031055467807063	-0.0687768611380204	-0.0282892148389188
