gene	X921.D28A	X921.D28B	X921.D28C	X921.D42A	X921.D42B	X921.D42C
POU5F2	-0.183647148079113	-0.228808152907596	-0.257144222530095	-0.252534733981461	-0.275229048988976	-0.350136377198035
PPP2CA	-0.46568786810918	-0.492215485184228	-0.448791327987782	-0.566632789017128	-0.57824059149544	-0.571213436386422
PPP2CB	-0.471536772072583	-0.49999344181219	-0.68696422180499	-0.478938609747023	-0.540804099877291	-0.760677383225312
PPP2R1A	-1.2062807611131	-1.24747668778808	-1.14928595122596	-1.40037958939105	-1.68826968402779	-1.4299407684185
PPP2R1B	-0.0708208555440391	-0.0785432894373207	-0.150260461229665	-0.076019257045212	-0.115989293038404	-0.146812993779914
PPP3CA	-0.166776870612747	-0.090923365514672	-0.108615595073114	-0.274559400638192	-0.112425450918279	-0.202944145187594
PPP3CC	-0.545181570167456	-0.482507411017154	-0.514693395179029	-0.763022809852368	-0.565639884161336	-0.536204077432957
PPP3R1	-0.166471839961593	-0.131062417351405	-0.13051559671545	-0.189204112749451	-0.164817327827741	-0.264347089722827
PPP3R2	-0.272317037388449	-0.336893049089711	-0.373603642030405	-0.323774344676553	-0.53052514467109	-0.382522827021223
PPP4C	-1.1241825289535	-1.2638873583805	-1.1499109871343	-1.47262356469131	-1.38593755865501	-1.59942512299452
PRDM13	-0.106489565335864	-0.11754106527718	-0.244386265020448	-0.206864552355074	-0.152622989938025	-0.38954619723391
PRDM16	-0.358769265080922	-0.315416707831038	-0.301327389501401	-0.411295093040954	-0.420292639568674	-0.370241472346555
PRG3	-0.425069003807569	-0.558316490122061	-0.42439066758961	-0.591061175144332	-0.645408611664114	-0.533670761578412
PRKAB1	-0.0924504153537241	-0.225533709716715	-0.2214156448279	-0.0795730112898471	-0.23456510848619	-0.246451302936993
PRKAB2	-0.449120574086504	-0.540376820665825	-0.514149690341958	-0.602832381589872	-0.611896329656785	-0.47834670506558
PRKDC	-0.873257695501455	-0.86794961102804	-0.849495532314383	-1.07376319697294	-1.15937357266832	-1.0201335179355
PRPF38A	-1.38436361280924	-1.53500160536196	-1.81026309421129	-1.43048589482112	-2.01974245314667	-2.11924315027765
PRPF8	-1.479232722051	-1.62491507530896	-1.6087478540552	-2.12431040826291	-2.35478445266944	-1.73703445856505
PRSS37	-0.316528203067818	-0.308038554935887	-0.366957691199389	-0.38908071141591	-0.436761007600419	-0.435130903615344
PSEN1	-0.150276465271396	-0.214873836071735	-0.230808384068014	-0.184547211236757	-0.191461929436411	-0.260864204077745
PSEN2	-0.187074927457971	-0.0965137400615846	-0.220194217741612	-0.288875876748353	-0.176316649694929	-0.298451584115504
PSMA2	-1.05584506631428	-1.19874510188609	-1.1515924218226	-1.10960353850847	-1.55578211600215	-1.36184210426248
