gene	OMM23.D28A	OMM23.D28B	OMM23.D28C	OMM23.D35A	OMM23.D35B	OMM23.D35C
BTG1	-0.12124183270621	-0.214922172602623	-0.140011054740248	-0.188277169502489	-0.100712594429553	-0.102775284022901
BUB1B	-0.87385651959107	-0.796105668590916	-0.825962378020313	-0.889017888703057	-0.852722986279964	-0.81723439738705
BUB3	-1.34269758100426	-1.3303972371334	-1.31078811093346	-1.39410107867049	-1.34140491247349	-1.44988951373714
BZW1	-0.249669196743786	-0.213022168732815	-0.290070020831608	-0.230895508645506	-0.214204783473074	-0.28560592839396
BZW2	-0.190765999824634	-0.230620273530002	-0.203575432011263	-0.257398642788929	-0.233182418731956	-0.253730264082183
CAB39	-0.0375109309529138	-0.108537673185962	-0.0384324781999344	-0.0165267236414431	-0.0541975561102324	-0.00983403186130635
CAB39L	-0.0665335484133806	-0.067658518568699	-0.155887834978414	-0.0429702165679692	-0.0505192285249606	-0.134348271749697
CABP5	-0.234339003632417	-0.336993822039629	-0.162488111046475	-0.238334200768376	-0.271100953450843	-0.251755456888204
CADPS	-0.20638561400042	-0.183703722726732	-0.116227861981889	-0.214165259490941	-0.1424865601033	-0.126368456856796
CADPS2	-0.149415985097192	-0.116674151843127	-0.152352116875713	-0.101657567802506	-0.104536244476873	-0.189012650112274
CALY	-0.156421793605929	-0.238339397833827	-0.143339748190024	-0.157958361792709	-0.250364556310926	-0.135367569874278
CAND1	-0.396370805720456	-0.410022961712922	-0.384572735848111	-0.54267576812729	-0.465873424790639	-0.543471279798347
CAND2	-0.176506067648898	-0.0649915621696857	-0.104210396681814	-0.153597366565742	-0.0995678715546581	-0.123042399843239
CAP1	-0.322972060863161	-0.29929284762988	-0.317419356353451	-0.375529174184242	-0.44958352975581	-0.37949369633256
CAP2	-0.124323068804665	-0.193082278934813	-0.247720640645617	-0.198713113332962	-0.163323831744613	-0.21875424696031
CAPN2	-0.214379001346913	-0.0672932881516282	-0.156656206681181	-0.181060926873082	-0.10674634073997	-0.118798981198073
CASP4	-0.212754815014568	-0.192211834309432	-0.164067902673703	-0.152474714946803	-0.194869287042986	-0.164452898603836
CAT	-0.119301087166731	-0.0485725387909724	-0.161681840313713	-0.0419034770057375	-0.0840552845504954	-0.0962484686038385
CAV1	-0.0725591925470489	-0.0983668015255795	-0.100873853108123	-0.0528817749642764	-0.181766845749626	-0.127874173259057
CAVIN1	-0.10229769404659	-0.123526475348925	-0.233323241743195	-0.139350609703266	-0.129300186956636	-0.229768292447693
CBLL1	-0.116091309244477	-0.0812447974454806	-0.142204895393107	-0.0389856278764914	-0.167889904206392	-0.141873092115189
CBLL2	-0.165676617539718	-0.091862640560032	-0.143719409185476	-0.145626382654584	-0.0490502349207684	-0.142602724628718
CCDC69	-0.1261140230089	-0.0949120288521621	-0.0645468947754855	-0.149280322587602	-0.0641071850806792	-0.0516143038035937
CCND1	-0.570027515922521	-0.467777698491404	-0.474007921943954	-0.678826005989606	-0.529580432807491	-0.596963060304103
CCND3	-0.318955857233342	-0.358264255831446	-0.322354595632697	-0.297224034987858	-0.334809113172026	-0.395457980838892
CCNE1	-0.209197475407076	-0.15138004978328	-0.222023162860152	-0.13723086974993	-0.171581508632896	-0.212736138084132
CCNE2	-0.156864447944553	-0.176396142981782	-0.183480296502623	-0.131121168657957	-0.17495966563156	-0.217104276780189
CCNL1	-0.398737859972276	-0.406182090119474	-0.250786165975202	-0.455319552465531	-0.476702703906177	-0.326951512520231
CCNL2	-0.188362548456124	-0.197536180167052	-0.137335796920038	-0.148359571241098	-0.166250344430606	-0.124466004913379
CCNT1	-0.341970016694654	-0.255497190264292	-0.31429735612976	-0.350705794652775	-0.214100868191177	-0.343328712881853
CCNT2	-0.350754153279172	-0.311618175484129	-0.260433963053086	-0.334063491724436	-0.336397437082369	-0.293709086374443
CCT6A	-0.651938605949305	-0.876228215647194	-0.797655325369574	-0.712379527813174	-0.751590575553398	-0.854456109616724
CCT6B	-0.106510617527514	-0.055753338431726	-0.102502094059329	-0.0714744806896	-0.111867899151537	-0.0630399238554067
CD163L1	-0.0507879974660486	-0.0974680129480822	-0.0827828467969181	-0.0484407575104988	-0.0795581374549281	-0.0873590029732559
CD44	-0.118347967334321	-0.0624670064005191	-0.1209371602699	-0.0739182266076018	-0.113227672768781	-0.103392554475228
CD72	-0.148202899044259	-0.171650594868295	-0.202911821102258	-0.140743429037872	-0.133288940546873	-0.223309572961636
CDC34	-0.12740845593532	-0.125478615007504	-0.0889610096659187	-0.108390852914358	-0.0892462846454523	-0.0995992485490429
CDIPT	-0.833731049438031	-0.850453215647076	-0.789060770505867	-0.91993680996617	-0.899596106377292	-0.782456661304429
CDK16	-0.112234990869841	-0.0281995030534673	-0.10992523358568	-0.0878881553819458	-0.0365087040234601	-0.0986461925696263
