gene	X921.D28A	X921.D28B	X921.D28C	X921.D42A	X921.D42B	X921.D42C
RBMX	-0.247532663521144	-0.172736157152615	-0.255503064429881	-0.331833271290886	-0.227735670664404	-0.411773702332495
RBMXL2	-0.272252762662502	-0.298245947012572	-0.257499033883188	-0.280502092498153	-0.396641831633247	-0.309097044911301
RBPJ	-0.265712775336635	-0.330722559398967	-0.283055111753231	-0.190373176823774	-0.31053316817045	-0.213010138948545
RBPJL	-0.335078530648888	-0.423188172331913	-0.277644099875482	-0.419669824982914	-0.656026373529089	-0.389160181316367
RC3H1	-0.232133199752134	-0.0277167801052213	-0.19174613210004	-0.19828947006936	-0.027370759870499	-0.0992676882228743
RC3H2	-0.120609631588551	-0.00744109089766614	0	-0.0694562450504788	-0.0153928855847518	0
RCBTB1	-0.214590678136255	-0.320594642899837	-0.282758265105736	-0.236216454474555	-0.402993909872039	-0.361879399666354
RCBTB2	-0.155779347711939	-0.150288194255205	-0.137959998967328	-0.181655798457191	-0.280558029804193	-0.153055136893759
RECK	-0.345042575570661	-0.316502610855369	-0.326939397530792	-0.485941745655819	-0.456680669289958	-0.2584785580519
REG3A	-0.214025561921941	-0.237509810322465	-0.225197178272461	-0.331913335219055	-0.260684853945221	-0.308437130537282
RFC2	-0.620380156150959	-0.746573998831727	-0.493933829312696	-1.09205948331873	-1.35190995438075	-0.746440166827016
RGS19	-0.369497404268655	-0.461230324953562	-0.577941413226546	-0.522435757117377	-0.714950607549062	-0.950288851028467
RHBDF1	-0.768394726429661	-0.803138716413797	-0.79989104584045	-1.04383352084426	-0.895494045130805	-0.876577090825071
RHBDF2	-0.206835324056661	-0.287680148004044	-0.227257090946338	-0.185952362938457	-0.346055809283432	-0.155643307344081
RHOBTB2	-0.426220164485118	-0.563926899674644	-0.574618805690874	-0.410171972932826	-0.763019764252934	-0.649344620899702
RHOT1	-0.31310579727413	-0.29814344553336	-0.519436688438915	-0.697115929529953	-0.334801441098765	-0.39694443594031
RHOT2	-0.491337925107158	-0.447690949283383	-0.571035756301677	-0.737048066613338	-0.478072701907408	-0.691601148499774
