gene	MP38.D28A	MP38.D28B	MP38.D28C	MP38.D65A	MP38.D65B	MP38.D65C
CCNE1	-0.185108424315493	-0.291575650628233	-0.171137950981968	-0.471637476610184	-0.644788350462798	-0.305567354145406
CCNE2	-0.435570388914524	-0.48224550187622	-0.417097861883845	-0.938819863612448	-0.943254966918614	-0.936485247611642
CCNL1	-0.130785899685622	-0.213143473135219	-0.133240617851266	-0.229212882554189	-0.479063357414612	-0.384799530294144
CCNL2	-0.130603799258819	-0.105931405607455	-0.0998343120979627	-0.265280311150121	-0.147922957283006	-0.172316577800418
CCNT1	-0.196813814731793	-0.179426962734606	-0.199108537491581	-0.357912164198604	-0.317020627527714	-0.310204296149658
CCNT2	-0.185588107942377	-0.20253660608937	-0.223129378700457	-0.40566994655496	-0.332763847411137	-0.46865309650995
CCT6A	-0.838537650303911	-0.843187471114966	-0.77672962769434	-1.52457192610174	-1.42480852449416	-1.47906924109926
CCT6B	-0.195266094274494	-0.195719905467233	-0.112081410417296	-0.299961335302539	-0.236824684812126	-0.249096668110671
CD163L1	-0.0358340613901819	-0.0873779753790409	-0.0471605655422062	-0.0562957618789661	-0.213310862400133	-0.0237209232744383
CD44	-0.12071862707258	-0.0903011675779741	-0.133454621649755	-0.510851149692323	-0.414495365172552	-0.280243569036167
CD72	-0.0233268817798959	-0.0614704558516883	-0.0767618224222868	-0.0645913595260345	-0.113318681625774	-0.138185716710016
CDC34	-0.207197470352535	-0.18041395201712	-0.193610058712679	-0.41732518827961	-0.263784957167642	-0.441206767763487
CDIPT	-1.45613859922898	-1.4529519686918	-1.59535468538735	-2.09215447080207	-2.03518680664492	-2.33202415304171
CDK16	-0.0604947631695819	-0.0880459342113195	-0.0318063693709272	-0.137059827668712	-0.166726011664727	-0.0361654209339695
CDK17	-0.0899074343752636	-0.0661940406237718	-0.0385412524533503	-0.17924807154021	-0.0411329789749492	-0.0469382203141047
CDK19	-0.112625517304336	-0.12614137824498	-0.089809066164493	-0.158602191274789	-0.211569233202608	-0.109032921053615
CDK2	-1.01529819997061	-1.09820918181706	-1.01708280535918	-2.05125744465858	-2.01695312501765	-2.08308885227984
CDK5R1	-0.176902895541813	-0.19527685496722	-0.145889744562908	-0.368637100276824	-0.39352335215105	-0.105388582264648
CDK5R2	-0.123114589750315	-0.135149174070074	-0.15533052132375	-0.241970107922914	-0.264641260647453	-0.239184230756976
CDK7	-0.891189879198443	-0.960370647001649	-0.852730252496973	-2.03404855956584	-2.49830226093633	-2.18312390015297
