gene	MP41.D28A	MP41.D28B	MP41.D28C	MP41.D32A	MP41.D32B	MP41.D32C
PRG3	-0.296443117896869	-0.426307083393573	-0.32172580103649	-0.316797065158295	-0.40082363264694	-0.299429610683981
PRKAB1	-0.0628257973456499	-0.0782664551361834	-0.137129798551228	-0.0607407774532329	-0.0700635340651166	-0.0853166504861292
PRKAB2	-0.417440076372355	-0.140754375749708	-0.203884924860832	-0.374945291339733	-0.150141464321293	-0.0946382685383594
PRKDC	-0.355702287589718	-0.391426841117727	-0.377444426662547	-0.413313097240772	-0.474924874253258	-0.370262609252783
PRPF38A	-0.645524962109506	-0.820850223464241	-0.907272835033378	-0.668008043591173	-0.908246375743974	-0.965094054017007
PRPF8	-1.07590276698813	-1.23540219238979	-1.1926864207347	-1.28670861254987	-1.24631714194256	-1.32279182319564
PRSS37	-0.338840652860991	-0.185185851414039	-0.266552964013001	-0.372310205504592	-0.317904440528651	-0.322937508099191
PSEN1	-0.232963997216368	-0.274902611741338	-0.321003278973962	-0.302218505712494	-0.213117511377819	-0.283690604215605
PSEN2	-0.0744326128510377	-0.192131016957483	-0.180556246376164	-0.0940590789485252	-0.137041493220617	-0.185053160456933
PSMA2	-0.256010536996083	-0.25651292784615	-0.444125374889047	-0.335964225722164	-0.214126885376441	-0.411592876774058
PSMB3	-0.598582382725719	-0.891535731429422	-0.842863316501351	-0.842327008628367	-1.33526658001636	-0.707549325605056
PSMB6	-0.561410363734013	-0.398847877563583	-0.339123305346469	-0.619342758397798	-0.510009376044482	-0.442253940773453
PSMB8	-0.359533217188848	-0.216024018793382	-0.151978357786455	-0.363660599815264	-0.11280484097177	-0.184957163537366
PSMB9	-0.155070541434538	-0.215158326280857	-0.345840962930438	-0.181890215208958	-0.237387954016939	-0.472288524527586
PSMC3	-0.508966297440103	-0.375475000466498	-0.689893307172358	-0.443091548939712	-0.504712228539965	-0.549304780558424
PTCH1	-0.214195769392575	-0.295854478028161	-0.362617848697893	-0.269609680205647	-0.244227552384431	-0.307072185451232
PTCH2	-0.219261624287362	-0.307783478286719	-0.26377637427942	-0.291065922677279	-0.29529703935867	-0.334003388377504
PTF1A	-0.30043796003872	-0.361891215268901	-0.157591283497238	-0.337548398296928	-0.388129367504972	-0.203405801333111
PTPN11	-0.47266242099732	-0.39524718144039	-0.180649251244733	-0.471773872090331	-0.427703298775464	-0.166927951960589
PTPN14	-0.150166633881267	-0.253954307389189	-0.236085129036414	-0.197971820420218	-0.238903059021016	-0.270516692582947
PTPN21	-0.179510515394077	-0.353985432696568	-0.429305659932002	-0.162319017417625	-0.410314091248909	-0.510827891201467
PTPN6	-0.228690864103834	-0.221800634691564	-0.24557680273364	-0.249916125315792	-0.257446519418816	-0.283691152541426
PTTG1	-0.271941894820336	-0.305632334566135	-0.252718173595155	-0.289205129505347	-0.195901286531044	-0.160383895603842
PUM1	-0.459184108583885	-0.582254578834411	-0.620750530656453	-0.456810138882882	-0.452451798999553	-0.603447937169513
PUM2	-0.376603189261319	-0.410460504752391	-0.48065255090879	-0.56392219536722	-0.374700102624122	-0.420574067325439
PXDN	-0.216866869477324	-0.23629010520731	-0.259696174129157	-0.205625526310514	-0.236557372811566	-0.323914962473567
PXDNL	-0.121031074761371	-0.181956927762975	-0.108492885286795	-0.0314147749416462	-0.156131351070289	-0.113297886179244
QSOX1	-0.407472777617755	-0.36908238523294	-0.231344682447929	-0.410369732574259	-0.297505042513766	-0.231278153207667
RAD17	-0.21348186596548	-0.0968781373258641	-0.192230538438048	-0.300728720457534	-0.0887905210799186	-0.200099028223555
RALGPS1	-0.178954051371278	-0.157051506142891	-0.0563669235728634	-0.355772843776064	-0.151629280556621	-0.166446572556266
RALGPS2	-0.322850979314327	-0.347403141177689	-0.360928289752385	-0.467726756403621	-0.440494230506868	-0.349926202761538
RAMP2	-0.251510430343451	-0.194423669153188	-0.30873071777668	-0.219891384567568	-0.119022017888904	-0.350503174299293
RAN	-0.570373648776392	-0.382215777786309	-0.535525891417319	-0.829471120054545	-0.614869039438881	-0.448048410237972
RANBP10	-0.189411934933178	-0.157078373708384	-0.116832190663463	-0.183886177420921	-0.191455543640796	-0.0898381055256063
RANBP17	-0.101655357021064	-0.0435464976801032	-0.222739529907125	-0.000562598677722774	-0.0764819674304612	-0.265553227798483
RANBP6	-0.214235187360346	-0.00124264006159348	-0.0861425279653206	-0.237336626935876	0	-0.00552272439682628
RANBP9	-0.368686843769208	-0.21821258873384	-0.442011579860903	-0.36562026722223	-0.260302914426001	-0.487267079451701
RAP1GAP	-0.353503032011355	-0.521654710002731	-0.198508332688739	-0.334364912672318	-0.578671036842135	-0.237727011699497
RAP1GAP2	-0.127061862518821	-0.167464476027948	-0.213189841202737	-0.082483081481588	-0.0778619890191025	-0.19837874545931
RB1	-0.235070340677995	-0.315345231195164	-0.316107434699043	-0.187134878024479	-0.258192534191867	-0.28899769299443
RBBP4	-0.515710267241482	-0.406021552515105	-0.710772962120357	-0.631618820032425	-0.573018058523071	-0.874794542230995
RBBP7	-0.207182443323728	-0.203246232224932	-0.402871645269583	-0.333462560383037	-0.376088217604203	-0.328253225050369
RBM22	-0.335422504822777	-0.477322250414844	-0.362053035789069	-0.37037978766141	-0.493197281625485	-0.392133774424407
RBMX	-0.166744298008941	-0.202243770419967	-0.151153601218307	-0.141397109175704	-0.325265191894028	-0.0688875888994646
RBMXL2	-0.126188596418048	-0.217282798328634	-0.167305883399107	-0.14099942247691	-0.203748681405746	-0.157242596552422
RBPJ	-0.17332894304954	-0.171490878170894	-0.224645844343802	-0.147896285630949	-0.156685136237336	-0.279150006340486
RBPJL	-0.294386016724859	-0.321839201594851	-0.250235957500187	-0.263888566485259	-0.318782536617925	-0.153446958967897
RC3H1	-0.290139635530686	-0.246296562764158	-0.125885140497304	-0.208230241008536	-0.299390418430794	-0.0869651357366068
RC3H2	-0.0147301418489846	-0.149457790763457	-0.0455110204360215	0	-0.10508288548664	-0.137413001156978
RCBTB1	-0.367249667653636	-0.168610404333899	-0.199525638262731	-0.446968582707973	-0.137360974370155	-0.250550799361409
RCBTB2	-0.090109492434996	-0.087342232407777	-0.0945967823998701	-0.119264029105799	-0.107376983975468	-0.21402361107893
RECK	-0.24454807810267	-0.145745120162048	-0.0707829961038241	-0.204768293633687	-0.196877769293406	-0.0325949853900053
REG3A	-0.276470165391515	-0.292385201642742	-0.301423742218042	-0.226714502517262	-0.393496717018096	-0.28450697580981
RFC2	-0.647000900741872	-0.703421757781094	-0.540631547314626	-0.707287707653271	-0.657122593475508	-0.617770417605746
RGS19	-0.261603130623497	-0.500680855362895	-0.105634415190854	-0.292586129917352	-0.462748596181054	-0.117807270619154
RHBDF1	-0.320899884701432	-0.283490908648243	-0.523148583823011	-0.385562546639238	-0.36808546385743	-0.453429266166471
RHBDF2	-0.357155834585914	-0.249829072000534	-0.182300624696139	-0.28369594437902	-0.190752592468541	-0.216828719206182
RHOBTB2	-0.384833805616879	-0.354382160273715	-0.342064408589687	-0.377715684416928	-0.365814191429352	-0.33212863047189
RHOT1	-0.22958522609334	-0.186094293240329	-0.342713354319717	-0.203086268833316	-0.248652210264601	-0.318407033426474
RHOT2	-0.286208030524599	-0.222588152205448	-0.2249759201681	-0.309707474131297	-0.235213475044865	-0.193796179843223
RIC8A	-0.388324235471129	-0.324055220308586	-0.428824143457805	-0.498137466460636	-0.31613489592018	-0.349262805817456
RIC8B	-0.213932294345005	-0.282038418219722	-0.216114000117409	-0.182665360349967	-0.19463541997307	-0.234461115907944
RIMKLB	-0.331370067430315	-0.251621193372253	-0.213910478517203	-0.255279605496396	-0.120124747501435	-0.205337183031482
RING1	-0.254407938438817	-0.25231266006674	-0.229135250756989	-0.174669774414233	-0.245488932618985	-0.240768982724668
RNF10	-0.16084376872016	-0.192346431113089	-0.244721450801103	-0.155946269847909	-0.165396434720353	-0.215252511062374
RNF103	-0.353748093268278	-0.438676911061208	-0.215204006514537	-0.291977871015551	-0.386263265587981	-0.255922604198294
RNF113A	-0.470445061709288	-0.563839129292583	-0.766294295875489	-0.448874902636556	-0.487011429164486	-0.687349989350361
RNF113B	-0.29705956752537	-0.450687687397492	-0.232557754178074	-0.281973525207725	-0.444838750153081	-0.274212194993215
RNF125	0	-0.0329564827656481	-0.142105138659691	0	-0.0381931431970583	-0.106615020268166
RNF130	-0.283473205296579	-0.265220865915711	-0.318130235794697	-0.267083403048825	-0.23780485786005	-0.199604458443735
RNF144A	-0.126484724759124	-0.143580167113273	-0.0936303203535258	-0.172306384600793	-0.156205623335685	-0.0820506889767769
RNF144B	-0.230195460306367	-0.23127791775549	-0.241213204742732	-0.239869102173997	-0.16756142499442	-0.176112864906664
RNF2	-0.227728526287248	-0.0860336577554825	-0.216945101741576	-0.18345246787569	-0.181879491422016	-0.182575666249858
RNF20	-0.297283730809744	-0.329559442572625	-0.188128874372591	-0.295552117469046	-0.337343681742031	-0.1492297093063
RNF38	-0.359171295714096	-0.124347558539349	-0.16944475944345	-0.269351484834439	-0.155344165895128	-0.0958226611652322
RNF40	-0.506284934987897	-0.578953415315874	-0.512288862236557	-0.539933947233028	-0.676311786341505	-0.589823163086391
RNF44	-0.327839900650151	-0.175728530435348	-0.168224666524236	-0.296005259423718	-0.142150034100519	-0.187501547263146
RP1	-0.197849529422092	-0.447891962791187	-0.234179786978382	-0.199064461873965	-0.317949039644569	-0.16875137263179
RPA1	-0.423352381459327	-0.664140661867779	-0.594655632130778	-0.592519940297966	-0.679847931366843	-0.570312984474773
RPA3	-0.109058220293756	-0.286675476448801	-0.345095631006514	-0.0948083254818405	-0.35251831210809	-0.419865709082219
RPL10A	-0.800202173551396	-0.927684357139894	-0.57261351391644	-0.923005333028738	-0.936096499880054	-0.731578607589298
RPL11	-0.554430464289296	-0.414289415462401	-0.650088945559436	-0.370961458088348	-0.448564041356206	-0.666415145073211
RPL13	-0.680055626389993	-0.862650960258219	-0.78893054295242	-0.94880374974378	-0.964029596073434	-0.895512888557461
RPL14	-1.21696375020997	-1.63866561472147	-1.5417292707392	-1.22563276460135	-1.5518471787488	-1.62852717755041
RPL15	-0.0082611332821273	-0.474700836964562	-0.0830969774669045	-0.194451558927366	-0.21355862399934	-0.121348389291867
RPL17	-0.974852707690187	-0.695989688622951	-0.828152337428374	-1.04965858489211	-0.477222184582862	-0.963911155878545
RPL18A	-0.966341473706238	-1.63454727628804	-0.507174433899743	-0.79975774728566	-1.68417632232358	-0.652801938350213
RPL19	-0.960650489658486	-0.93222441753244	-0.997678900736375	-1.12547590608098	-1.14343260113491	-1.07239694278325
RPL21	-0.217049206750579	-0.168407927984029	-0.159840950824851	-0.328683878148034	-0.185124766406272	-0.281135145132612
RPL27A	-0.19777961426451	-0.382535962236675	-0.222689479641795	-0.216587547786276	-0.271531370582394	-0.181188775535109
RPL3	-0.727878647857442	-0.651674377006217	-0.758204955478789	-0.667141313301017	-0.945898310526371	-0.775114888588188
RPL31	-0.178836099874486	-0.195595502479884	-0.105386644870054	-0.398587329460599	-0.0866198837264329	-0.0701607608420265
RPL36	-0.94378447804198	-1.19052050413975	-0.73075082134226	-0.907123876616844	-1.23950278976387	-0.816810784390866
RPL37A	-1.23894686672115	-0.871692734041845	-1.01177969107378	-1.1798254750566	-1.0148965190757	-0.897050967566511
RPL3L	-0.197429502222531	-0.0637444651483875	-0.245232933514401	-0.254601107191204	-0.0529131369972626	-0.312205373922426
RPL5	-0.340948070043032	-0.546436925194664	-0.661737707961894	-0.363487327076539	-0.308101807781788	-0.545990868676654
RPL6	0	0	-0.0560371546050009	0	0	-0.258049208548797
RPL8	-0.57808031045887	-0.454410670692271	-0.614311413296955	-0.74742817558821	-0.47400217819876	-0.677179358887975
RPP14	-0.391862621137994	-0.158011558245851	-0.108529223693461	-0.404253245631123	-0.0973711528720639	-0.096123260215136
RPP21	-1.10828996935611	-1.16901357148828	-0.960790873234344	-1.1955968487419	-1.10801257314513	-1.15472700411115
RPRD1A	-0.167384217078609	-0.203159882479381	-0.245519831912672	-0.147195311995888	-0.170024385543646	-0.226701547605212
RPRD1B	-0.417296687985549	-0.497028524816492	-0.239782689505652	-0.405850287400639	-0.423706268804889	-0.266471675039538
RPS11	-0.519216391459408	-0.376755060177027	-1.01967483292987	-0.644083150371714	-0.291079464171067	-1.0374039716004
RPS15	-0.314765376167289	-0.902757548652235	-0.161980381902143	-0.345263190552794	-0.855545524519729	-0.23252110659653
RPS19	-1.12113203935905	-1.38089107034534	-1.38503932451827	-0.99356737985584	-1.46133455864006	-1.45601893399547
RPS23	-0.984443596451757	-0.562025010118959	-0.865013612864805	-1.04580108368929	-0.86989064194907	-1.08818373640101
RPS28	-0.240877682993246	-0.0395979208286902	-0.139242742811688	-0.257975062762443	-0.129800138176791	-0.213587054222729
RPS3	-0.907608395901344	-0.966039439543411	-1.18252445541539	-0.853577295078928	-0.93398694574893	-1.20755193677643
RPS5	-0.88660386597326	-1.15029445900005	-1.07061430866524	-1.29730690798198	-1.42825756160637	-1.35468818026817
RPS7	-0.0439119285522272	-0.123304954197916	-0.203630104710321	0	-0.254059778912796	-0.134176530271129
RPS8	-0.714717013692137	-0.935340946904593	-0.340021213988322	-1.13143246959514	-0.950677179346409	-0.4713001302837
RRAGC	-0.405228383526215	-0.498716433935685	-0.640167162144015	-0.445193953546276	-0.389898055025612	-0.803346829023946
RRAGD	-0.240607681791144	-0.163362978875962	-0.267649973390516	-0.277118299051973	-0.10534205470274	-0.216002489396829
RRM1	-0.997869672464965	-1.12954639440859	-0.968808191232212	-1.16028205061947	-1.36555451441365	-1.19594758676774
RRM2	-1.05374768662149	-1.13434375035097	-1.01184009801781	-1.00171422765965	-0.926192633886122	-0.969798793963347
RRM2B	-0.415959271341758	-0.278039518401042	-0.440496845069497	-0.448521780391301	-0.293896308629265	-0.493864153639054
RSBN1	-0.513835143249946	-0.503801756935947	-0.319323198514364	-0.47863638656461	-0.48030658389819	-0.354224922049038
