gene	Mel270.D28A	Mel270.D28B	Mel270.D28C	Mel270.D35A	Mel270.D35B	Mel270.D35C
HTR3D	-0.185574588960279	0.0398348426801686	-0.152683349208373	-0.171222191181094	0.00288136145871576	-0.176927559824409
HTR3E	-0.16113300167461	-0.0621437049205208	-0.135028688177285	-0.170472018502266	-0.04348493073429	-0.148535768139618
HUS1	-1.25562003904648	-1.23171129017351	-1.19981434232258	-1.42391009714809	-1.36519393351569	-1.47770768133632
HUS1B	-0.272911033670435	-0.346276829700407	-0.112957884502591	-0.317345208833397	-0.304945885909082	-0.0757963510207883
IAPP	-0.121832859372667	-0.232508175598888	-0.123049587949756	-0.174145303028994	-0.292764446634982	-0.035631136954887
ICK	-0.285176281089139	-0.310794535977902	-0.512690388146808	-0.312328913312779	-0.307509488329293	-0.545264204747304
IDH1	0.0587200165491104	-0.211489039780648	-0.151980356166326	0.130592155359466	-0.252492315477644	-0.15448718410994
IDH2	-0.213717206823302	-0.305970717359709	-0.172222353787352	-0.245537724491714	-0.285688962478908	-0.119997522049844
IDH3B	-0.0244194897033243	-0.0199516864878303	-0.15641650469553	-0.0252485455031624	-0.0443511545252072	-0.130087142434047
IDH3G	-0.0765376628840076	-0.02693406954489	-0.0175186878920041	-0.0893701056407704	0.0886280651257376	0.0444845237570262
IFIH1	-0.154839417690684	-0.168008214585818	-0.162342661086486	-0.18239633213804	-0.138507760371117	-0.109786335576824
IKBKB	-0.174989712574261	-0.0600069787717946	-0.053952540043441	-0.109184988774928	-0.0807719893476004	-0.0655793047280241
IKBKE	-0.27053195154366	-0.156039398047087	-0.171663760285276	-0.212001981164202	-0.11218376458915	-0.160084959634085
IL10RA	-0.114585100506334	-0.216436092642517	-0.141109353296477	-0.141355508794908	-0.1387656530934	-0.148510137683688
IL6R	-0.14679689234254	-0.228708077617475	-0.310121580557309	-0.197475372263794	-0.107105662943583	-0.258959459878364
IL6ST	-0.212108805221971	0.0915506904855871	-0.0793185402808776	-0.263769503107011	0.111276306805802	-0.0512048694621023
ILF3	-0.926956980524879	-0.786606349203014	-1.15672541352014	-0.90564392525517	-0.734024741926206	-1.10602561132139
IMPDH1	-0.454098186875386	-0.319622674949339	-0.401990500520491	-0.43531806953681	-0.295655540594361	-0.438684963941167
IMPDH2	-0.599793534516311	-0.568424949557851	-0.781458660802262	-0.76333818043446	-0.651806858259419	-0.910623071167437
INCENP	-0.88963279983676	-0.85868881035734	-0.991700051517639	-0.913544336398786	-0.903239245702302	-1.00547211167106
INTS2	-1.05195178622551	-0.903981193506356	-1.05785039379194	-1.17592882999691	-0.94733291203541	-0.98624248249174
INTS6	-2.087559729555	-1.79714967466465	-1.89759851504935	-1.95810680668024	-1.8224745879873	-2.2777819118041
INTS6L	-0.12961989896464	-0.10459592928551	-0.158193434404816	-0.12191414539637	-0.0501468891592647	-0.0845436710227725
IPO5	-0.311573396165644	-0.284687499671382	-0.362598613650153	-0.38836232750826	-0.399420915503231	-0.403739976840336
IPO7	-0.529862864089279	-0.679228386474203	-0.595619191056605	-0.502520144593372	-0.654244995234201	-0.538590622639218
IPO8	-0.103549856053701	-0.110977111763622	-0.255876262543569	-0.115899845620149	-0.0846322232244121	-0.234788913403749
IQCA1	-0.32132567388068	-0.398993708326989	-0.3032301589633	-0.371223607354142	-0.40509540182285	-0.3847728633004
IQCA1L	-0.102458554143443	-0.170363400301404	-0.189278170991218	-0.06610879768872	-0.195163459189316	-0.207071739008485
IRF4	-0.56711618481725	-0.636981396823014	-0.436698089501553	-0.608129047092722	-0.644342200661753	-0.500159457921144
IRF6	-0.295742560450874	-0.211152897168808	-0.115851955755347	-0.333400559854255	-0.27263562460005	-0.10290733133136
IRF8	-0.181760842962965	-0.173836778226498	-0.0298298231328049	-0.108418550119127	-0.13460788757265	0.0069668516978659
ISCA2	-0.380899753177803	-0.237948617952994	-0.254931583583627	-0.344826183716242	-0.297633232891313	-0.490450187045677
ISL1	-0.116387169072586	-0.0457902052509097	-0.0869616083778768	-0.0783551896166467	-0.0390204111983797	-0.136828081647908
ITGB1BP2	-0.228052404586944	-0.206974877680984	-0.209241867407958	-0.196457049276656	-0.176280847122669	-0.176269965221598
ITSN1	-0.229394374892941	-0.252969126420315	-0.160348304433059	-0.181952318573846	-0.14043637208438	-0.242847220236033
ITSN2	-0.169904470332396	-0.27089451381627	-0.381549322994936	-0.0414689511164896	-0.250145754138668	-0.453769766970752
JAG1	-0.11141670203073	-0.0423654230264253	-0.0638214893176137	-0.0907469954297383	0.0838809831124023	-0.0780852051646644
JAG2	-0.132908667326885	-0.14378785147504	-0.0567381137168119	-0.173721436362749	-0.102937358997536	-0.00837812143127742
JUP	-0.129670830355778	-0.117411389080656	-0.138891037471515	-0.188682791618777	-0.170293633591493	-0.105398176773296
KAT6A	-0.83585243843227	-0.726100213485629	-0.540653127499692	-0.945540310312542	-0.890536456141186	-0.633769960065056
