gene_pair_id	qc_group	cancer_type	sorted_gene_pair	targetA	targetB	mean_norm_gi	median_norm_gi	variance_norm_gi	nexp	n_replicates	n_guide_pairs	n_sig_guide_pairs	mean_grna_count_all	median_norm_gi_all	variance_norm_gi_all	svar	gi_t_score	plow	phigh	fdr
PSMB8|PCGF1	Mel285 D28	Uveal melanoma	PCGF1|PSMB8	PSMB8	PCGF1	0.300974951767715	0.500752751810719	0.331202881353486	96	3	32	0	92.8015564202335	0.462309269531704	1.00852430788466	0.0144722634308467	0.319561528938483	0.625349629151555	0.374650370848445	0.625349629151555
ADAP1|ADAP2	Mel285 D28	Uveal melanoma	ADAP1|ADAP2	ADAP1	ADAP2	0.186114678184934	0.506463758664385	0.756564826688233	96	3	32	0	92.8015564202335	0.462309269531704	1.00852430788466	0.0189497575922651	0.3207547045533	0.625801856220827	0.374198143779173	0.625801856220827
SPOP|SPOPL	Mel285 D28	Uveal melanoma	SPOP|SPOPL	SPOP	SPOPL	0.393823240198573	0.502345506744643	0.356113274451709	84	3	28	0	92.8015564202335	0.462309269531704	1.00852430788466	0.0152764386902726	0.32392330361696	0.627001949671836	0.372998050328164	0.627001949671836
NHLRC1|ADAM19	Mel285 D28	Uveal melanoma	ADAM19|NHLRC1	NHLRC1	ADAM19	0.364217932517743	0.501245162868353	0.319672697865721	96	3	32	1	92.8015564202335	0.462309269531704	1.00852430788466	0.0143508930783439	0.325020443919282	0.627417200512081	0.372582799487919	0.627417200512081
MYBPHL|MYBPH	Mel285 D28	Uveal melanoma	MYBPH|MYBPHL	MYBPHL	MYBPH	0.163592071529895	0.507119776844666	0.690282710920402	96	3	32	0	92.8015564202335	0.462309269531704	1.00852430788466	0.0182520511104985	0.331683618414937	0.629935914150216	0.370064085849784	0.629935914150216
DNAJC15|DNAJC19	Mel285 D28	Uveal melanoma	DNAJC15|DNAJC19	DNAJC15	DNAJC19	0.251544953217611	0.51184025900567	0.786449258984096	72	3	24	2	92.8015564202335	0.462309269531704	1.00852430788466	0.0220626674378729	0.333463262277348	0.630607691760576	0.369392308239424	0.630607691760576
UBASH3B|PCGF1	Mel285 D28	Uveal melanoma	PCGF1|UBASH3B	UBASH3B	PCGF1	0.433917221007097	0.500260340753086	0.181792896272353	96	3	32	0	92.8015564202335	0.462309269531704	1.00852430788466	0.0128995267457822	0.334146679900109	0.63086556153221	0.36913443846779	0.63086556153221
PLD1|PLD2	Mel285 D28	Uveal melanoma	PLD1|PLD2	PLD1	PLD2	0.35303353725441	0.500672051435593	0.195688218432096	96	3	32	0	92.8015564202335	0.462309269531704	1.00852430788466	0.0130457932948321	0.335872808906387	0.631516608771604	0.368483391228396	0.631516608771604
RAMP2|ADM	Mel285 D28	Uveal melanoma	ADM|RAMP2	RAMP2	ADM	0.311490452834565	0.505714183085962	0.539054986152598	96	3	32	0	92.8015564202335	0.462309269531704	1.00852430788466	0.016660180323469	0.336278457570899	0.63166955332685	0.36833044667315	0.63166955332685
UTRN|DMD	Mel285 D28	Uveal melanoma	DMD|UTRN	UTRN	DMD	0.393452628932889	0.501245162868353	0.211821233053155	96	3	32	0	92.8015564202335	0.462309269531704	1.00852430788466	0.0132156145013696	0.338693188509213	0.632579563754416	0.367420436245584	0.632579563754416
NBEA|LRBA	Mel285 D28	Uveal melanoma	LRBA|NBEA	NBEA	LRBA	0.351742116192961	0.505714183085962	0.372913068346782	72	3	24	1	92.8015564202335	0.462309269531704	1.00852430788466	0.016238214048615	0.340619702011838	0.633305052277238	0.366694947722762	0.633305052277238
CASP4|PCGF1	Mel285 D28	Uveal melanoma	CASP4|PCGF1	CASP4	PCGF1	0.481982947142615	0.501245162868353	0.185971494428568	96	3	32	0	92.8015564202335	0.462309269531704	1.00852430788466	0.0129435119895318	0.342234728950954	0.633912874240276	0.366087125759724	0.633912874240276
MAK|ICK	Mel285 D28	Uveal melanoma	ICK|MAK	MAK	ICK	0.347662531335377	0.50403649027948	0.349564498939779	96	3	32	0	92.8015564202335	0.462309269531704	1.00852430788466	0.0146655436159656	0.344564377652539	0.634789054989219	0.365210945010781	0.634789054989219
MPC1|MPC1L	Mel285 D28	Uveal melanoma	MPC1|MPC1L	MPC1	MPC1L	0.322908865052045	0.505714183085962	0.452504353101751	96	3	32	0	92.8015564202335	0.462309269531704	1.00852430788466	0.0157491210281969	0.345868280968656	0.635279146359186	0.364720853640814	0.635279146359186
SERPINA9|HMSD	Mel285 D28	Uveal melanoma	HMSD|SERPINA9	SERPINA9	HMSD	0.289620436328134	0.505714183085962	0.427538585681552	93	3	31	0	92.8015564202335	0.462309269531704	1.00852430788466	0.0156330758513532	0.347149607107223	0.635760536501875	0.364239463498125	0.635760536501875
CAPN2|LDB1	Mel285 D28	Uveal melanoma	CAPN2|LDB1	CAPN2	LDB1	0.35355322998891	0.506463758664385	0.478912138011862	96	3	32	0	92.8015564202335	0.462309269531704	1.00852430788466	0.0160270977114612	0.348776666099296	0.636371508765064	0.363628491234936	0.636371508765064
CD44|MRPL55	Mel285 D28	Uveal melanoma	CD44|MRPL55	CD44	MRPL55	0.204377652885317	0.51184025900567	0.749868590869322	87	3	29	1	92.8015564202335	0.462309269531704	1.00852430788466	0.0197053195307471	0.352846052545557	0.637898071751882	0.362101928248118	0.637898071751882
MBD4|MECP2	Mel285 D28	Uveal melanoma	MBD4|MECP2	MBD4	MECP2	0.362596879642106	0.502345506744643	0.169415952650279	96	3	32	0	92.8015564202335	0.462309269531704	1.00852430788466	0.0127692431287077	0.354299611172673	0.638442820442602	0.361557179557398	0.638442820442602
G3BP2|G3BP1	Mel285 D28	Uveal melanoma	G3BP1|G3BP2	G3BP2	G3BP1	0.359460118177082	0.505714183085962	0.306963573016231	84	3	28	0	92.8015564202335	0.462309269531704	1.00852430788466	0.0146842736127367	0.35818934394905	0.639899189385816	0.360100810614184	0.639899189385816
RCBTB1|RCBTB2	Mel285 D28	Uveal melanoma	RCBTB1|RCBTB2	RCBTB1	RCBTB2	0.310584902667739	0.50806974997803	0.506541403601831	96	3	32	0	92.8015564202335	0.462309269531704	1.00852430788466	0.0163179320860925	0.358226751588652	0.63991318550255	0.36008681449745	0.63991318550255
SIRPA|TREM2	Mel285 D28	Uveal melanoma	SIRPA|TREM2	SIRPA	TREM2	0.103778365660738	0.516544763447041	0.807168087969746	72	3	24	0	92.8015564202335	0.462309269531704	1.00852430788466	0.0223544819306286	0.36274488299158	0.641602265864785	0.358397734135215	0.641602265864785
