"geneSymbol","modelName","tissue","cancerType","fc_clean","bf_scaled","modelId","geneId","isPanCancer","source"
"POLR3K","Mel-202","Eye","Melanoma","-2.61146","-19.947","SIDM01357","SIDG25253","","Broad"
"RPS12","Mel-202","Eye","Melanoma","-2.60491","-17.789","SIDM01357","SIDG32921","true","Broad"
"RPL19","Mel-202","Eye","Melanoma","-2.60012","-17.605","SIDM01357","SIDG31831","true","Broad"
"CDC20","Mel-202","Eye","Melanoma","-2.59698","-17.58","SIDM01357","SIDG04039","true","Broad"
"YRDC","Mel-202","Eye","Melanoma","-2.59597","-17.914","SIDM01357","SIDG41346","true","Broad"
"TONSL","Mel-202","Eye","Melanoma","-2.59193","-18.027","SIDM01357","SIDG38336","true","Broad"
"KIF23","Mel-202","Eye","Melanoma","-2.58667","-18.626","SIDM01357","SIDG13758","true","Broad"
"RPL14","Mel-202","Eye","Melanoma","-2.56741","-17.345","SIDM01357","SIDG31719","true","Broad"
"IPO11","Mel-202","Eye","Melanoma","-2.56465","-17.804","SIDM01357","SIDG13175","true","Broad"
"LSM7","Mel-202","Eye","Melanoma","-2.55812","-19.474","SIDM01357","SIDG16917","true","Broad"
"CRCP","Mel-202","Eye","Melanoma","-2.55795","-17.604","SIDM01357","SIDG05384","true","Broad"
"PRPF19","Mel-202","Eye","Melanoma","-2.55266","-17.561","SIDM01357","SIDG25870","true","Broad"
"SMU1","Mel-202","Eye","Melanoma","-2.54672","-18.645","SIDM01357","SIDG35217","true","Broad"
"RPL11","Mel-202","Eye","Melanoma","-2.52642","-17.203","SIDM01357","SIDG31622","true","Broad"
"MMS22L","Mel-202","Eye","Melanoma","-2.52539","-17.012","SIDM01357","SIDG19867","true","Broad"
"NEDD1","Mel-202","Eye","Melanoma","-2.52362","-17.181","SIDM01357","SIDG21672","true","Broad"
"EEF2KMT","Mel-202","Eye","Melanoma","-2.52081","-17.302","SIDM01357","SIDG07404","true","Broad"
"NCBP2","Mel-202","Eye","Melanoma","-2.51837","-16.956","SIDM01357","SIDG21451","true","Broad"
"RPL13A","Mel-202","Eye","Melanoma","-2.51804","-16.953","SIDM01357","SIDG31680","true","Broad"
"DTYMK","Mel-202","Eye","Melanoma","-2.51799","-18.046","SIDM01357","SIDG07043","true","Broad"
"MAK16","Mel-202","Eye","Melanoma","-2.51341","-16.916","SIDM01357","SIDG17140","true","Broad"
"CCT3","Mel-202","Eye","Melanoma","-2.49114","-17.321","SIDM01357","SIDG03899","true","Broad"
"UBA1","Mel-202","Eye","Melanoma","-2.48749","-16.711","SIDM01357","SIDG40056","true","Broad"
"MCM2","Mel-202","Eye","Melanoma","-2.48343","-17.258","SIDM01357","SIDG17419","true","Broad"
"WDR5","Mel-202","Eye","Melanoma","-2.47924","-17.223","SIDM01357","SIDG41034","true","Broad"
"RUVBL2","Mel-202","Eye","Melanoma","-2.47793","-17.708","SIDM01357","SIDG33538","true","Broad"
"TUBB","Mel-202","Eye","Melanoma","-2.47335","-17.669","SIDM01357","SIDG39904","true","Broad"
"RPL5","Mel-202","Eye","Melanoma","-2.46319","-17.091","SIDM01357","SIDG31334","true","Broad"
"NIP7","Mel-202","Eye","Melanoma","-2.46035","-16.629","SIDM01357","SIDG21861","true","Broad"
"PUF60","Mel-202","Eye","Melanoma","-2.45881","-16.938","SIDM01357","SIDG26345","true","Broad"
"PAFAH1B1","Mel-202","Eye","Melanoma","-2.4559","-16.914","SIDM01357","SIDG23831","true","Broad"
"PSMB6","Mel-202","Eye","Melanoma","-2.45172","-16.411","SIDM01357","SIDG26078","true","Broad"
"KIF11","Mel-202","Eye","Melanoma","-2.45097","-16.42","SIDM01357","SIDG13741","true","Broad"
"RPS27A","Mel-202","Eye","Melanoma","-2.44582","-17.437","SIDM01357","SIDG33225","true","Broad"
"TARS1","Mel-202","Eye","Melanoma","-2.44262","-16.338","SIDM01357","SIDG37141","true","Broad"
"RNGTT","Mel-202","Eye","Melanoma","-2.44186","-16.915","SIDM01357","SIDG29191","true","Broad"
"GSPT1","Mel-202","Eye","Melanoma","-2.43283","-16.26","SIDM01357","SIDG10732","true","Broad"
"COPB2","Mel-202","Eye","Melanoma","-2.43044","-16.567","SIDM01357","SIDG05171","true","Broad"
"RPS2","Mel-202","Eye","Melanoma","-2.43038","-16.429","SIDM01357","SIDG32655","true","Broad"
"CDC7","Mel-202","Eye","Melanoma","-2.42093","-17.568","SIDM01357","SIDG04034","true","Broad"
"SPATA5L1","Mel-202","Eye","Melanoma","-2.41759","-16.155","SIDM01357","SIDG36171","true","Broad"
"LUC7L3","Mel-202","Eye","Melanoma","-2.41443","-18.201","SIDM01357","SIDG16954","true","Broad"
"HINFP","Mel-202","Eye","Melanoma","-2.41191","-16.554","SIDM01357","SIDG11273","true","Broad"
"RPL23A","Mel-202","Eye","Melanoma","-2.41109","-16.661","SIDM01357","SIDG32015","true","Broad"
"COPB1","Mel-202","Eye","Melanoma","-2.41063","-16.27","SIDM01357","SIDG05170","true","Broad"
"NUBP1","Mel-202","Eye","Melanoma","-2.40489","-16.054","SIDM01357","SIDG22396","true","Broad"
"RUVBL1","Mel-202","Eye","Melanoma","-2.40356","-16.173","SIDM01357","SIDG33536","","Broad"
"RPL3","Mel-202","Eye","Melanoma","-2.39666","-18.044","SIDM01357","SIDG31312","true","Broad"
"CDC5L","Mel-202","Eye","Melanoma","-2.38171","-17.911","SIDM01357","SIDG04032","true","Broad"
"DHX8","Mel-202","Eye","Melanoma","-2.37241","-16.231","SIDM01357","SIDG06540","true","Broad"
"RPS28","Mel-202","Eye","Melanoma","-2.37035","-17.135","SIDM01357","SIDG33275","true","Broad"
