gene	Mel285.D28A	Mel285.D28B	Mel285.D28C	Mel285.D49A	Mel285.D49B	Mel285.D49C
ALDOA	-0.720783455461013	-0.684288109659405	-0.676046147866565	-1.38440363730547	-1.2746120570353	-1.44401847573154
ALDOC	0	0	0	-0.36651537043846	-1.00909560729366	-0.803001370926776
ALG14	-0.376958504837191	-0.0790212619426555	-0.625493800124615	-1.00810569858147	-1.13611841187972	-1.27449786186516
AMELX	0	-0.0947302873922277	-0.000409382706869584	-0.556369728493749	-0.927712694409565	-0.956722481466802
ANAPC4	-0.101993960141044	-0.340586141886051	-0.359798560554231	-0.813714856716422	-1.27255147967496	-1.25719480979256
ANKRD10	-0.0255761576437831	-0.0656834172754242	0	-0.981114493683253	-0.991272179882923	-0.864762764669778
ANKRD37	0	0	0	-0.62697507098276	-1.08281522109683	-0.577459695996189
ANXA1	0	0	0	-0.773765759457685	-1.06935904007206	-0.567934191211462
AOX1	0	-0.0660644044970114	0	-0.685484227823022	-1.15326727274367	-0.437765605250401
AP1G1	-0.11092651136193	-0.128217563714277	-0.461326543210581	-1.25215342781347	-1.10772279353186	-1.16055248999726
AP1G2	0	-0.00635806048370195	0	-0.651785138490947	-0.924902050705424	-1.04792309789193
AP2A1	0	0	0	-0.292819202953654	-0.783350721191613	-0.0888758001794921
AP2A2	0	0	0	-0.774916552537259	-0.828175942421506	-0.476411767215866
AP3M1	-0.0927072575935827	0	-0.0618243666044176	-0.775557332634362	-0.784562683207583	-0.599747090112793
AP5M1	-0.185248266150136	0	-0.0781872669119824	-1.04489503407989	-0.855395856658151	-1.02231653432948
APH1A	-0.107425813206595	-0.154271428912257	-0.00844234812315805	-0.890668487753184	-1.19782564380917	-1.13267289080996
APH1B	-0.0923529889818024	0	-0.0254275478664046	-1.19360087534469	-0.848944976547087	-0.824934033615031
APOBEC1	-0.262603058928659	0	0	-0.812826776734697	-0.930109442862879	-0.976469317630893
APOBEC3C	0	-0.13876627507648	-0.130944648810642	-0.395518748640018	-0.834026087191654	-0.885677017329505
AQP8	0	-0.0977964684757858	0	-0.49474193681443	-0.957845386961874	-0.281517652131841
ARFGEF1	0	-0.138470862732523	0	-0.639155718515422	-0.973074227816469	-0.63557719737447
ARFGEF2	-0.0746713340080485	0	-0.240285052017347	-1.05129860753385	-0.763262964241685	-1.06974613353645
ARFIP1	0	0	0	-0.428225444191134	-0.499849410764822	-0.842171275665425
ARFIP2	0	0	-0.0583994429635155	-0.527577301709935	-0.932866628086949	-1.15583831422577
ARHGEF3	0	0	-0.0148103085663519	-0.820417074337532	-0.589591841364536	-0.913820458804973
ARHGEF6	0	-0.0520295605665712	-0.101157359915038	-0.564696903738838	-0.797481244688947	-0.922478727825123
ARHGEF7	-0.34212600361598	-0.282798926658954	-0.48624842832063	-0.939857869345772	-0.918989912623936	-1.07463332442052
ARID1A	-0.116400814763247	-0.101270462875017	-0.144058694173682	-1.29867079818896	-1.17749311899024	-1.07975332362778
